,name,address,gd_point_x,gd_point_y,region,dataType
0,爱嘉幼学托育园,西湖区山水人家彩云天会馆1层(蚂蚁金服对面),120.108808,30.269882,西湖区,幼儿园
1,莲花港幼儿园新城园区,西湖区益乐路100号,120.114701,30.284017,西湖区,幼儿园
2,翠苑第三幼儿园,西湖区翠苑新村三区63号,120.120725,30.290563,西湖区,幼儿园
3,文新学前教育集团金地幼儿园,西湖区欣然街111号附近,120.069289,30.330682,西湖区,幼儿园
4,蓝天幼儿园(周浦线),西湖区双浦镇三阳村408号(中共杭州市双浦镇委员会东),120.07489,30.09081,西湖区,幼儿园
5,杭州市西湖区金太阳幼儿园,西湖区西溪路老东岳10号,120.090999,30.256317,西湖区,幼儿园
6,小桔灯幼儿园,西湖区西溪路杨家牌楼2号,120.075362,30.239958,西湖区,幼儿园
7,杭州市西湖区西溪花园幼儿园,西湖区晴川街573号,120.061002,30.283909,西湖区,幼儿园
8,和庄幼儿园,西湖区天目山路383号,120.072188,30.257188,西湖区,幼儿园
9,杭州市文新幼儿园富城园区,西湖区庆隆路20号翠苑佳居内,120.124152,30.292765,西湖区,幼儿园
10,西溪明珠幼儿园,西湖区百家园路(启航国际酒店斜对面),120.059295,30.247573,西湖区,幼儿园
11,浙江大学幼儿园玉泉分园,西湖区浙大路18浙大求是社区,120.1303,30.262994,西湖区,幼儿园
12,杭州市西湖区文一街幼儿园,西湖区文一路122号金都城市芯宇7幢,120.136095,30.290533,西湖区,幼儿园
13,杭州市西湖区黄龙和山幼儿园,西湖区留下街道求和路88号(求是和家园小学对面),120.064372,30.241357,西湖区,幼儿园
14,杭州嘟巴教育,西湖区三墩镇西行路32号三墩小学附近,120.0815,30.317375,西湖区,幼儿园
15,杭州市西湖区文新自在城幼儿园,西湖区嘉仁路499西北方向130米,120.072594,30.334313,西湖区,幼儿园
16,午山幼儿园,西湖区转塘街道丽景路午山社区內,120.087652,30.164385,西湖区,幼儿园
17,嘉绿苑幼儿园,西湖区丰潭路嘉绿西苑小区39幢,120.110455,30.280192,西湖区,幼儿园
18,西溪花园幼儿园竞舟苑园区,西湖区晴川街563-575,120.056045,30.283403,西湖区,幼儿园
19,山水学期教育集团蝶园幼儿园,西湖区文一西路崇义路口西溪蝶园小区内紫霞街180号,120.065259,30.289789,西湖区,幼儿园
20,周浦幼儿园,西湖区双浦镇周浦三阳村408号,120.074173,30.092417,西湖区,幼儿园
21,杭州市西湖区和家园幼儿园,西湖区留下镇杨梅山路305号,120.063653,30.235947,西湖区,幼儿园
22,留下幼儿园(东穆坞分园),西湖区长深高速外东穆坞村146号,120.061329,30.222017,西湖区,幼儿园
23,杭州市西湖区古荡幼儿园,西湖区古荡新村东区36幢,120.118124,30.274896,西湖区,幼儿园
24,山水学前教育集团莲花港幼儿园,西湖区古荡街道西斗门路146号,120.111053,30.290364,西湖区,幼儿园
25,孩盟国际幼托,西湖区盛龙街西城年华65号,120.099941,30.310003,西湖区,幼儿园
26,Kaiser Nursery卡朗幼托,西湖区文一路122号城市芯宇2幢103-2,120.137231,30.290181,西湖区,幼儿园
27,希溪谷儿童之家(南都银座园),西湖区文二西路115号南都银座大厦,120.112015,30.281742,西湖区,幼儿园
28,贝比之家早教幼托中心,西湖区文三西路29号,120.111733,30.275987,西湖区,幼儿园
29,政苑幼儿园,西湖区政苑小区73-1号,120.102335,30.296871,西湖区,幼儿园
30,西湖区午山幼儿园瑷骊山园区,西湖区霞鸣街269号,120.066042,30.143164,西湖区,幼儿园
31,杭州市西湖区翠苑第一幼儿园,西湖区翠苑一区49号(翠苑一区社区委员会隔壁),120.127799,30.286713,西湖区,幼儿园
32,武林门幼儿园(武林巷),西湖区马塍路9号,120.148943,30.275802,西湖区,幼儿园
33,杭师大幼儿园,西湖区教工路142号,120.136045,30.281017,西湖区,幼儿园
34,杭州市西湖区转塘幼儿园,西湖区大诸桥新村1号,120.074175,30.160195,西湖区,幼儿园
35,嘉苑幼儿园,西湖区新安嘉苑11号,120.104737,30.269099,西湖区,幼儿园
36,闻裕顺学前教育集团西庐幼儿园,西湖区五常港路与紫霞街交叉口,120.056486,30.291522,西湖区,幼儿园
37,凯乐幼儿园,西湖区常陇路10号5号楼,120.08415,30.172649,西湖区,幼儿园
38,杭州市金都中心幼儿园,西湖区古墩路415号,120.097256,30.285322,西湖区,幼儿园
39,酷特儿幼托,西湖区古墩路107号,120.101002,30.273864,西湖区,幼儿园
40,杭州市西湖区紫荆幼儿园,西湖区紫荆花路290号,120.093232,30.290338,西湖区,幼儿园
41,杭州市西湖区智多星幼儿园(五里堂街),西湖区三墩镇大港桥村,120.075367,30.317541,西湖区,幼儿园
42,武林门幼儿园(易盛大厦西南),西湖区莫干山路武林巷3号省级机关,120.150949,30.276513,西湖区,幼儿园
43,小和山学前教育集团小和山幼儿园,西湖区留和路附近,120.015875,30.208924,西湖区,幼儿园
44,浙江大学西溪校区幼儿园,西湖区天目山路148号浙江大学西溪校区,120.142874,30.274545,西湖区,幼儿园
