,name,address,point_x,point_y,specify,dataType
0,西湖区大樟树幼儿园,浙江省杭州市西湖区浙江省杭州市西湖区,120.08873,30.1015,西湖区,幼儿园
1,西湖区莲花港学前教育集团新城幼儿园,浙江省杭州市西湖区益乐路100,120.10951,30.28623,西湖区,幼儿园
2,杭州市西湖区西溪花园幼儿园都市阳光园区,浙江省杭州市西湖区来仁路76东北方向36米,120.06002,30.3412,西湖区,幼儿园
3,唐老鸭幼儿园,浙江省杭州市西湖区三墩镇马家塘20号,120.04115,30.31275,西湖区,幼儿园
4,杭州市西湖区文苑幼儿园登新园区,浙江省杭州市西湖区登云圩路62,120.08328,30.28143,西湖区,幼儿园
5,西湖区蒋村花园幼儿园,浙江省杭州市西湖区晴川街92,120.07453,30.28643,西湖区,幼儿园
6,西湖区百灵幼儿园,浙江省杭州市西湖区文星路6,120.08258,30.3247,西湖区,幼儿园
7,杭州市西湖区文新学前班教育集团富城幼儿园,浙江省杭州市西湖区庆隆路9东北方向90米,120.11928,30.29492,西湖区,幼儿园
8,孝慈水木清华幼儿园,浙江省杭州市余杭区西湖小和山高教区水木清华苑,120.013828,30.221,西湖区,幼儿园
9,杭州市西湖区小和山学前教育集团嘉苑幼儿园,浙江省杭州市西湖区新安嘉苑11,120.09992,30.27145,西湖区,幼儿园
10,杭州市人民政府机关幼儿园府新分园,浙江省杭州市西湖区文二西路589府新花园,120.08616,30.28153,西湖区,幼儿园
11,文苑学前教育集团文一街幼儿园,浙江省杭州市西湖区教工路250号西南方向139米,120.1314,30.29249,西湖区,幼儿园
12,杭州市西湖区文新绿城育华幼儿园,浙江省杭州市西湖区文一西路563,120.08645,30.2888,西湖区,幼儿园
13,沁雅幼儿园,浙江省杭州市西湖区文三西路111沁雅花园,120.100701,30.276794,西湖区,幼儿园
14,三墩镇中心幼儿园甲来路园区,浙江省杭州市西湖区甲来路106东北方向106米,120.06305,30.34382,西湖区,幼儿园
15,杭州市西湖区文鼎苑幼儿园,浙江省杭州市西湖区古墩路635,120.09203,30.29989,西湖区,幼儿园
16,新星幼儿园,浙江省杭州市西湖区新星小区23幢-1,120.08196,30.3256,西湖区,幼儿园
17,山水学前教育集团蝶园幼儿园,浙江省杭州市西湖区紫霞街180,120.060129,30.292298,西湖区,幼儿园
18,名苑学前教育集团小和山幼儿园,浙江省杭州市西湖区留和路568号西北方向121米,120.01102,30.21165,西湖区,幼儿园
19,杭州市西湖区红黄蓝幼儿园,浙江省杭州市西湖区西园七路3号正东方向26米,120.05569,30.316412,西湖区,幼儿园
20,闻裕顺幼儿园塘北园区,浙江省杭州市西湖区政苑小区73-1,120.097565,30.299235,西湖区,幼儿园
