,name,address,point_x,point_y,specify,dataType
0,杭州市人民政府机关幼儿园府新分园,浙江省杭州市西湖区文二西路589府新花园,120.08616,30.28153,西湖区,幼儿园
1,杭州市西湖区文苑幼儿园登新园区,浙江省杭州市西湖区登云圩路62,120.08328,30.28143,西湖区,幼儿园
2,杭州凯乐幼儿园,浙江省杭州市西湖区常陇路10号5号楼,120.07951,30.17489,西湖区,幼儿园
3,杭州市西湖区紫荆幼儿园诚园园区,浙江省杭州市西湖区蒋村西溪人家1幢西北方向183米,120.07651,30.2927,西湖区,幼儿园
4,杭州市西湖区文新绿城育华幼儿园,浙江省杭州市西湖区文一西路563,120.08645,30.2888,西湖区,幼儿园
5,唐老鸭幼儿园,浙江省杭州市西湖区三墩镇马家塘20号,120.04115,30.31275,西湖区,幼儿园
6,大禹路幼儿园,浙江省杭州市西湖区颐景园曲水苑对面大禹路和大公路交叉口,120.07606,30.33481,西湖区,幼儿园
7,杭州市西湖区大大树幼儿园,浙江省杭州市西湖区莫干山路493-1,120.13969,30.28846,西湖区,幼儿园
8,西湖区大樟树幼儿园,浙江省杭州市西湖区浙江省杭州市西湖区,120.08873,30.1015,西湖区,幼儿园
9,沁雅幼儿园,浙江省杭州市西湖区文三西路111沁雅花园,120.100701,30.276794,西湖区,幼儿园
10,杭州市西湖区西溪花园幼儿园都市阳光园区,浙江省杭州市西湖区来仁路76东北方向36米,120.06002,30.3412,西湖区,幼儿园
11,枫华府第幼儿园西溪里园区,浙江省杭州市西湖区浙江省杭州市西湖区,120.05601,30.29084,西湖区,幼儿园
12,三墩镇中心幼儿园甲来路园区,浙江省杭州市西湖区甲来路106东北方向106米,120.06305,30.34382,西湖区,幼儿园
13,杭州市西湖区小和山学前教育集团嘉苑幼儿园,浙江省杭州市西湖区新安嘉苑11,120.09992,30.27145,西湖区,幼儿园
14,杭州市西湖区文苑幼儿园,浙江省杭州市西湖区紫荆花路106号,120.08922,30.28109,西湖区,幼儿园
15,新星幼儿园,浙江省杭州市西湖区新星小区23幢-1,120.08196,30.3256,西湖区,幼儿园
16,杭州市西湖区翠苑第三幼儿园,浙江省杭州市西湖区翠苑新村三区63号,120.116281,30.292548,西湖区,幼儿园
17,西湖区莲花港学前教育集团新城幼儿园,浙江省杭州市西湖区益乐路100,120.10951,30.28623,西湖区,幼儿园
18,西湖区蒋村花园幼儿园,浙江省杭州市西湖区晴川街92,120.07453,30.28643,西湖区,幼儿园
19,西点幼儿园,浙江省杭州市西湖区文一西路149号雅仕苑,120.10017,30.28759,西湖区,幼儿园
20,文苑学前教育集团文一街幼儿园,浙江省杭州市西湖区教工路250号西南方向139米,120.1314,30.29249,西湖区,幼儿园
