,Unnamed: 0,Unnamed: 0.1,objectid,name,address,point_x,point_y,dsmc,qxmc,xzmc,xxlb,xzqdm,dj,gdb_geomattr_data,shape,verify_point_x,verify_point_y,verify_address
0,1.0,1.0,19.0,义乌市河畔幼儿园,浙江省金华市义乌市北苑街道建设社区居委会,120.0675311,29.31759667,金华市,义乌市,北苑街道,幼儿园,330782.0,学前教育,,01010000208A11000058121C6E52045E40807104044E513D40,120.072169,29.31518,义乌市河畔幼儿园
1,3.0,6.0,105.0,杭州市余杭区大华西溪风情幼儿园,浙江省杭州市余杭区五常街道大华西溪风情小区内,120.0374973,30.27942042,杭州市,余杭区,五常街道,幼儿园,330110.0,学前教育,,01010000208A110000B815F35A66025E408042A81888473E40,120.042275,30.277076,大华西溪风情幼儿园
2,11.0,18.0,379.0,义乌市义亭镇王阡幼儿园,浙江省义乌市义亭镇王阡一村,119.9424861,29.23380239,金华市,义乌市,义亭镇,幼儿园,330782.0,学前教育,,01010000208A110000705A67B151FC5D40404D1D79DA3B3D40,119.94697,29.230944,义乌市义亭镇王阡幼儿园
3,22.0,38.0,793.0,杭州市余杭区良渚古墩路小学,余杭区良渚街道金汇南路7号古墩路小学,120.073622,30.3510443,杭州市,余杭区,良渚街道,小学,330110.0,初等教育,,01010000208A1100001022E938B6045E4000A7070ADE593E40,120.078467,30.348907,余杭区良渚古墩路小学
4,39.0,69.0,1306.0,杭州市余杭区径山镇长乐幼儿园,杭州市余杭区径山镇径山中路17号,119.8487489,30.33813595,杭州市,余杭区,径山镇,幼儿园,330110.0,学前教育,,01010000208A11000038ADD4E651F65D4010DADE1390563E40,119.853253,30.335511,径山镇长乐幼儿园
5,41.0,71.0,1325.0,义乌市廿三里街道埠头幼儿园,义乌市廿三里街道埠头村6幢1-2号,120.1929863,29.3313819,金华市,义乌市,廿三里街,幼儿园,330782.0,学前教育,,01010000208A110000504B20E3590C5E40F082A171D5543D40,120.197493,29.328794,义乌市廿三里街道埠头幼儿园
6,44.0,75.0,1399.0,杭州市余杭区英特西溪外国语学校,闲林街道上和路125号,119.9786624,30.24753803,杭州市,余杭区,闲林街道,九年一贯制学校,330110.0,中等教育,,01010000208A110000209F6667A2FE5D40D08B10A75E3F3E40,119.983344,30.244804,英特西溪外国语学校
7,50.0,82.0,1523.0,宁波市海曙区洞桥镇百梁天成希望小学,宁波市海曙区洞桥镇蕙江村桥北38号,121.3857417,29.76967903,宁波市,海曙区,洞桥镇,小学,330203.0,初等教育,,01010000208A11000078190BFEAF585E4050AD4DAF09C53D40,121.390333,29.76739,洞桥镇百梁天成希望小学
8,61.0,97.0,1782.0,宁波市海曙区集士港镇科创幼儿园,浙江省宁波市集士港镇科创北路247号科创幼儿园,121.4502736,29.85981881,宁波市,海曙区,集士港镇,幼儿园,330203.0,学前教育,,01010000208A11000098B37B48D15C5E4010BBE9151DDC3D40,121.454584,29.85737,集士港镇科创幼儿园
9,78.0,124.0,2116.0,杭州仁和实验学校,杭州西湖风景名胜区梅灵南路5号,120.092825,30.179154,杭州市,西湖区,西湖街道,十二年一贯制学校,330106.0,中等教育,,01010000208A11000010D044D8F0055E4090F25A09DD2D3E40,120.09773,30.17683,杭州仁和实验学校
