,objectid,name,address,point_x,point_y,dsmc,qxmc,xzmc,xxlb,xzqdm,dj,gdb_geomattr_data,shape,verify_point_x,verify_point_y,verify_address
0,85.0,义乌市黄山小学,义乌市上溪镇黄山村,119.9124289,29.3366036,金华市,义乌市,上溪镇,小学,,初等教育,,01010000208A110000D8F6FD3B65FA5D40504E56A72B563D40,119.9123,29.33674,金华市义乌市黄山一村义乌市上溪镇黄山小学
1,127.0,杭州市余杭区运河兴旺幼儿园,杭州市余杭区运河街道东湖北路南栅口社区自强链条,120.2951604,30.45909794,杭州市,余杭区,运河街道,幼儿园,330110.0,学前教育,,01010000208A110000E02B45E8E3125E4080AA497187753E40,120.29528,30.45933,杭州市临平区余杭开发区东湖北路471号西南方向90米兴旺幼儿园
2,149.0,义乌市福田爱德幼儿园,义乌市福田街道下西陶村56-58号,120.1195632,29.37959418,金华市,义乌市,福田街道,幼儿园,330782.0,学前教育,,01010000208A110000C0B65DECA6075E4010AC7B152D613D40,120.11942,29.37964,金华市义乌市荷叶塘下西陶荷叶塘中学后门对面西南方向96米爱德幼儿园
3,180.0,宁波市海曙区集士港镇白岳幼儿园,宁波市海曙区集士港镇岳童村童家横221号,121.4228335,29.88934498,宁波市,海曙区,集士港镇,幼儿园,330203.0,学前教育,,01010000208A11000080812EB40F5B5E404024E51CACE33D40,121.422893,29.889262,宁波市海曙区岳童村203正东方向88米白岳幼儿园
4,222.0,宁波市海曙区石碶街道栎社小学,栎社村74号,121.4805655,29.80817883,宁波市,海曙区,石碶街道,小学,330203.0,初等教育,,01010000208A110000682FD695C15E5E40F076D0CEE4CE3D40,121.480719,29.808151,宁波市海曙区栎社街74号海曙区栎社小学
5,369.0,宁波市海曙区古林镇张家潭幼儿园,宁波市海曙区古林镇张家潭村1号,121.471022,29.84562605,宁波市,海曙区,古林镇,幼儿园,330203.0,学前教育,,01010000208A110000A0945A39255E5E405065E5F27AD83D40,121.471104,29.845646,宁波市海曙区古林镇张家潭幼儿园
6,482.0,义乌市福田鑫焕幼儿园,义乌市福田银海二区15幢1号,120.1005592,29.34425551,金华市,义乌市,福田街道,幼儿园,330782.0,学前教育,,01010000208A110000907B01906F065E40709F082121583D40,120.10064,29.3443300000001,金华市义乌市银海二区15幢银海鑫焕幼儿园
7,682.0,浙江省级机关北山幼儿园,杭州市西湖区宝石社区,120.146235,30.26479031,杭州市,西湖区,北山街道,幼儿园,330106.0,学前教育,,01010000208A110000A802F4E95B095E4070BF394CC9433E40,120.14616,30.26496,杭州市西湖区保俶路45浙江省级机关北山幼儿园
8,795.0,宁波市新芝幼儿园,柳翠街80号；永丰西路98弄54号,121.5265747,29.89031518,宁波市,海曙区,西门街道,幼儿园,,学前教育,,01010000208A110000D05D6666B3615E40001E22B2EBE33D40,121.52641,29.8904,宁波市海曙区柳翠街80宁波市新芝幼儿园
9,886.0,杭州市西湖区紫金港幼儿园,杭州市五常港路与蒋墩路交叉口,120.063774,30.30370152,杭州市,西湖区,三墩镇,幼儿园,330106.0,学前教育,,01010000208A11000050288CDF14045E40408EF761BF4D3E40,120.06369,30.30376,杭州市西湖区五常港路469正西方向145米浙大紫金港幼儿园
10,953.0,义乌市新义中学,义乌市西城路412号,120.056842,29.3139654,金华市,义乌市,北苑街道,十二年一贯制学校,330782.0,中等教育,,01010000208A110000A0A9734CA3035E40D030480960503D40,120.05684,29.31396,金华市义乌市出国留学语言培训中心
11,1026.0,义乌市北苑望道路幼儿园,浙江省金华市义乌市北苑街道柳一村委会,120.0392496,29.34287129,金华市,义乌市,北苑街道,幼儿园,330782.0,学前教育,,01010000208A110000E85D991083025E40102CBE69C6573D40,120.03922,29.34271,金华市义乌市望道路幼儿园
12,1108.0,宁波市海曙区石碶街道宸卿小学,浙江省宁波市海曙区石碶街道塘西中路111-1,121.5028911,29.83519687,宁波市,海曙区,石碶街道,小学,330203.0,初等教育,,01010000208A11000070C6065E2F605E4020C84176CFD53D40,121.502866,29.835146,宁波市海曙区宸卿小学
13,1171.0,义乌市义亭红果果幼儿园,义乌市义亭镇前屋村李宅116号,119.9570079,29.20631777,金华市,义乌市,义亭镇,幼儿园,330782.0,学前教育,,01010000208A11000028291F9E3FFD5D40D0BBCA3DD1343D40,119.957,29.20631,金华市义乌市红果果幼儿园
