,Unnamed: 0,objectid,name,address,point_x,point_y,dsmc,qxmc,xzmc,xxlb,xzqdm,dj,gdb_geomattr_data,shape,verify_point_x,verify_point_y,verify_address
0,2.0,25.0,杭州市余杭区崇贤第三幼儿园,杭州市余杭区崇贤街道沾丁路与前村街交叉口南,120.1450033,30.38761333,杭州市,余杭区,崇贤街道,幼儿园,330110.0,学前教育,,01010000208A110000D0BE07BC47095E40F04087A03A633E40,120.16256,30.38767,余杭区崇贤第二幼儿园
1,4.0,67.0,杭州市余杭区未来科技城海创小学,浙江省杭州市余杭区五常街道永寿街128号,120.0130597,30.27607851,杭州市,余杭区,闲林街道,小学,330110.0,初等教育,,01010000208A110000B8775FF8D5005E40202BD414AD463E40,120.012847,30.276173,杭州未来科技城海创小学
2,5.0,104.0,宁波市海曙区石碶街道冯家小学,宁波市海曙区石碶街道冯家村1号,121.4862029,29.82409963,宁波市,海曙区,石碶街道,小学,330226.0,初等教育,,01010000208A110000D842EAF21D5F5E4060337B31F8D23D40,121.48681,29.82362,石碶街道冯家小学
3,7.0,118.0,杭州市余杭区英特外国语学校,杭州市余杭区上和路1号,119.9691041,30.24389338,杭州市,余杭区,余杭街道,完全中学,330110.0,中等教育,,01010000208A11000048811ECD05FE5D401084E6CB6F3E3E40,119.96971,30.24503,杭州英特外国语学校
4,10.0,219.0,宁波市海曙区横街镇绿茵幼儿园,宁波市海曙区横街镇横街南路11号,121.3924708,29.85274093,宁波市,海曙区,横街镇,幼儿园,330203.0,学前教育,,01010000208A110000C08FAB3D1E595E400004C23A4DDA3D40,121.39279,29.85247,横街镇绿茵幼儿园
5,14.0,357.0,义乌市廿三里喜洋洋幼儿园,义乌市廿三里街道王店村西区7号,120.181975,29.34152324,金华市,义乌市,廿三里街,幼儿园,330782.0,学前教育,,01010000208A110000B0E58D7AA50B5E40501940116E573D40,120.174445,29.327792,义乌市廿三里畅想幼儿园
6,15.0,360.0,义乌市上溪镇中心幼儿园,浙江省义乌市上溪镇富塘下村上溪镇中心幼儿园,119.9296242,29.2712983,金华市,义乌市,上溪镇,幼儿园,330782.0,学前教育,,01010000208A110000A8A25BF67EFB5D40F0233FCE73453D40,119.92904,29.27221,义乌市上溪镇中心幼儿园
7,20.0,393.0,宁波市东恩中学,海曙区灵桥路164号,121.5454994,29.85945445,宁波市,海曙区,南门街道,初级中学,330203.0,中等教育,,01010000208A110000C8C94276E9625E40C0F8E13405DC3D40,121.54668,29.8607,东恩中学
8,22.0,457.0,宁波市海曙区鄞江镇燕玲学校,宁波市海曙区鄞江镇大桥村,121.3681753,29.80637072,宁波市,海曙区,鄞江镇,小学,330203.0,初等教育,,01010000208A110000A0B0292F90575E4010ACAD4F6ECE3D40,121.36834,29.806,鄞江镇燕玲学校
9,26.0,553.0,宁波市实验幼儿园,青林湾东区2号、维科上院30号,121.520253,29.905397,宁波市,海曙区,望春街道,幼儿园,,学前教育,,01010000208A11000058293DD34B615E4080E50819C8E73D40,121.52622,29.87855,宁波市实验小学
10,27.0,646.0,杭州市余杭区良渚七贤幼儿园,杭州市余杭区良渚街道崇福山居一号楼,120.0019243,30.35325935,杭州市,余杭区,良渚街道,幼儿园,330110.0,学前教育,,01010000208A110000C05927871F005E40105F5E346F5A3E40,120.011795,30.349442,杭州市余杭区良渚七贤小学
11,29.0,666.0,杭州市余杭区鸬鸟镇中心小学,杭州市余杭区鸬鸟镇雅城镇236号,119.7535168,30.45495193,杭州市,余杭区,鸬鸟镇,小学,330110.0,初等教育,,01010000208A110000902E699E39F05D40209ACCBA77743E40,119.75464,30.4553,余杭区鸬鸟镇中心幼儿园
12,30.0,679.0,义乌市江东街道快乐幼儿园,江东金村C区37栋,120.084187,29.296766,金华市,义乌市,江东街道,幼儿园,330281.0,学前教育,,01010000208A110000E8EFDE5163055E40909048DBF84B3D40,120.08452,29.2963,义乌市江东街道快乐幼儿园
13,31.0,699.0,宁波市海曙区洞桥镇中心幼儿园,宁波市海曙区洞桥镇文卫路49号,121.4077403,29.78416151,宁波市,海曙区,洞桥镇,幼儿园,330203.0,学前教育,,01010000208A110000789CF36A185A5E40F01D15CFBEC83D40,121.40762,29.78446,洞桥镇中心幼儿园
14,35.0,749.0,浙江省杭州第七中学,浙江省杭州市西湖区转塘环山路1号,120.0519114,30.15144314,杭州市,西湖区,转塘街道,高级中学,330106.0,中等教育,,01010000208A110000F0473F8452035E40600730FAC4263E40,120.053046,30.150409,浙江省杭州第七中学
15,36.0,776.0,宁波市海曙区古林镇薛家小学,浙江省宁波市海曙区古林镇薛家村1号,121.4966271,29.85732021,宁波市,海曙区,古林镇,小学,330203.0,初等教育,,01010000208A110000F835EBBCC85F5E4060BD605679DB3D40,121.49637,29.85901,古林镇薛家幼儿园
16,40.0,858.0,宁波市海曙区石碶街道实验小学,浙江省宁波市海曙区石碶街道横涨村广泽南路2999号,121.4442275,29.79432463,宁波市,海曙区,石碶街道,小学,330203.0,初等教育,,01010000208A110000E05F40396E5C5E40505FD7DB58CB3D40,121.44373,29.79434,海曙区石碶街道实验小学
17,42.0,883.0,宁波市海曙区古林镇蜃蛟幼儿园,宁波市海曙区古林镇蜃蛟村小魏家26号,121.3976246,29.81808732,宁波市,海曙区,古林镇,幼儿园,330203.0,学前教育,,01010000208A110000A8F15FAE72595E4020DABD2B6ED13D40,121.39741,29.8181,古林镇蜃蛟幼儿园
18,43.0,884.0,义乌市城西街道新一代幼儿园,浙江省义乌市城西街道西站一区22幢,119.981322,29.31653895,金华市,义乌市,城西街道,幼儿园,330782.0,学前教育,,01010000208A11000068D5E1FACDFE5D40F0FA44B208513D40,119.988759,29.310369,城西街道东河幼儿园
19,46.0,939.0,浙江大学附属中学,杭州市曙光路89号,120.1265869,30.26143179,杭州市,西湖区,北山街道,高级中学,330127.0,中等教育,,01010000208A11000030B6FCFF19085E40D0E39731ED423E40,120.12669,30.2607,浙江大学附属中学
20,48.0,999.0,杭州市余杭区育蕾学校,余杭区南苑街道高地社区工业园区,120.3156447,30.37853406,杭州市,余杭区,南苑街道,九年一贯制学校,330110.0,中等教育,,01010000208A11000090FAF18533145E4050B6B89BE7603E40,120.316019,30.378415,余杭区育蕾学校
21,50.0,1078.0,浙江省德清县职业中等专业学校,浙江省德清县武康街道北湖西街440号,119.9386209,30.54992809,湖州市,德清县,武康街道,职业高中学校,330521.0,中等教育,,01010000208A110000E835655D12FC5D4020685516C88C3E40,119.93838,30.5499,浙江省德清县职业中等专业学校
22,52.0,1134.0,浙江大学幼儿园玉泉分园,杭州市西湖区求是村内,120.1257567,30.26523628,杭州市,西湖区,灵隐街道,幼儿园,330106.0,学前教育,,01010000208A110000389EE5650C085E4010E76486E6433E40,120.125354,30.264991,浙江大学幼儿园玉泉分园
23,57.0,1191.0,杭州市余杭区塘栖镇第一幼儿园,杭州市余杭区塘栖镇油车桥20号,120.1851197,30.47804372,杭州市,余杭区,塘栖镇,幼儿园,330110.0,学前教育,,01010000208A11000058367600D90B5E4040DEB612617A3E40,120.184856,30.47778,杭州市余杭区塘栖镇第一小学
24,58.0,1194.0,杭州市余杭区径山镇双溪幼儿园,杭州市余杭区径山镇双溪村水磨苑107号,119.8207394,30.40938898,杭州市,余杭区,径山镇,幼儿园,330110.0,学前教育,,01010000208A11000048B69FFE86F45D40600861B7CD683E40,119.82,30.4099,径山镇双溪幼儿园
25,60.0,1203.0,义乌市金城高尔夫幼儿园,义乌市金城高尔夫2期20栋,120.0646221,29.35996556,金华市,义乌市,后宅街道,幼儿园,330782.0,学前教育,,01010000208A110000D8CB93C422045E40705C09B4265C3D40,120.06365,29.35973,金城高尔夫幼儿园
26,61.0,1240.0,杭州市余杭区育海外国语学校,杭州市天目山西路255号,119.9919752,30.23249034,杭州市,余杭区,闲林街道,九年一贯制学校,330110.0,中等教育,,01010000208A110000705B7A857CFF5D40100D9A7C843B3E40,119.9914,30.23221,杭州育海外国语学校
27,64.0,1249.0,义乌市后宅街道鹤田幼儿园,义乌市后宅街道鹤田一区43号、45号,120.0604108,29.41129031,金华市,义乌市,后宅街道,幼儿园,330782.0,学前教育,,01010000208A11000070D371C5DD035E40906E4D524A693D40,120.06032,29.41288,后宅街道鹤田幼儿园
28,66.0,1279.0,杭州市金都中心幼儿园,杭州市古墩路415号,120.0923107,30.28759412,杭州市,西湖区,文新街道,幼儿园,330106.0,学前教育,,01010000208A110000D0CFFD6AE8055E40F0BD9AC49F493E40,120.09263,30.28757,杭州市金都中心幼儿园
29,67.0,1280.0,义乌公学,义乌市求真路388号,120.0000704,29.30621768,金华市,义乌市,城西街道,十二年一贯制学校,330782.0,中等教育,,01010000208A110000208A3A2701005E40102C1C48644E3D40,120.00032,29.305101,义乌公学
30,73.0,1340.0,杭州市余杭区塘栖镇超山中心小学,浙江省杭州市余杭区塘栖镇超丁村坝儿斗108号,120.19926,30.44808679,杭州市,余杭区,塘栖镇,小学,330110.0,初等教育,,01010000208A11000060D1F4ACC00C5E40501DE1D0B5723E40,120.19937,30.44844,余杭区塘栖镇超山中心小学
31,80.0,1502.0,杭州市余杭区北湖绿洲幼儿园,杭州市余杭区瓶窑镇北湖绿洲小区23-1号,119.9748339,30.3810721,杭州市,余杭区,瓶窑镇,幼儿园,330110.0,学前教育,,01010000208A1100003066C1AD63FE5D4000BDDDF08D613E40,119.97389,30.38102,北湖绿洲幼儿园
32,91.0,1690.0,义乌市赤岸镇毛店幼儿园,义乌市赤岸镇毛店村,119.993325,29.101405,金华市,义乌市,赤岸镇,幼儿园,330782.0,学前教育,,01010000208A110000285305A392FF5D40A0A696ADF5193D40,119.99316,29.10155,义乌市赤岸镇毛店幼儿园
33,93.0,1702.0,杭州市余杭区未来科技城海曙幼儿园,杭州市余杭区五常街道联创街2-1号,120.0272701,30.29378741,杭州市,余杭区,五常街道,幼儿园,330110.0,学前教育,,01010000208A11000018BC05CBBE015E40C0CFE2A6354B3E40,120.02735,30.29438,余杭区未来科技城海曙幼儿园
34,94.0,1730.0,义乌市启东学校教育集团,义乌市福田街道荷叶塘工作片听涛路8号,120.1132728,29.37310147,金华市,义乌市,福田街道,九年一贯制学校,330782.0,中等教育,,01010000208A11000078986DDC3F075E4060EB0494835F3D40,120.092566,29.302135,义乌工商职业技术学院
35,96.0,1754.0,杭州东方中学,杭州市西湖区西溪路655-1号,120.0822223,30.25627531,杭州市,西湖区,留下街道,完全中学,330106.0,中等教育,,01010000208A110000E08B802143055E40E0A132429B413E40,120.0878,30.29034,东方幼儿园
36,98.0,1786.0,杭州市余杭区未来科技城海创幼儿园,杭州市余杭区五常街道贺翠路3号,120.0140822,30.27603187,杭州市,余杭区,闲林街道,幼儿园,330110.0,学前教育,,01010000208A110000102ADCB8E6005E4050C76306AA463E40,120.012847,30.276173,杭州未来科技城海创小学
37,99.0,1793.0,杭州市余杭区蒲公英学校,杭州市余杭区瓶窑镇长命村,120.000497,30.385359,杭州市,余杭区,瓶窑镇,十二年一贯制学校,330110.0,中等教育,,01010000208A110000C0AF912408005E4020382EE3A6623E40,119.999317,30.385051,杭州蒲公英学校
38,100.0,1861.0,义乌市江东街道塔下洲幼儿园,义乌市江东街道塔下州六区5幢,120.043391,29.273184,金华市,义乌市,江东街道,幼儿园,330782.0,学前教育,,01010000208A110000387C0BEBC6025E4060CAF962EF453D40,120.04973,29.24445,江东街道蓝星幼儿园
39,103.0,1886.0,杭州市余杭区维翰学校,余杭区荆长大道533号,120.0372239,30.27988765,杭州市,余杭区,五常街道,九年一贯制学校,330110.0,中等教育,,01010000208A110000984A3DE061025E4070309CB7A6473E40,120.0376,30.28016,杭州维翰学校
40,107.0,1897.0,杭州市余杭区乔司第三幼儿园,乔司街道胜稼村9组方塘埠135号,120.2766151,30.3344259,杭州市,余杭区,乔司街道,幼儿园,330110.0,学前教育,,01010000208A11000000A9AF0FB4115E4070417EEF9C553E40,120.27567,30.38986,余杭区乔司第二幼儿园
41,111.0,1965.0,杭州市余杭区良渚实验学校,良渚街道莫干山路1795号,120.0757758,30.35833238,杭州市,余杭区,良渚街道,九年一贯制学校,330110.0,中等教育,,01010000208A11000058DF8582D9045E402050B0ABBB5B3E40,120.075926,30.358834,良渚实验学校
42,113.0,1976.0,义乌市苏溪镇中心幼儿园,义乌市苏溪镇好派路151号,120.1368058,29.40618733,金华市,义乌市,苏溪镇,幼儿园,330782.0,学前教育,,01010000208A110000E82C486DC1085E40C01A8EE4FB673D40,120.12395,29.41653,义乌市苏溪镇中心学校
43,118.0,2036.0,宁波市海曙区集士港镇三禾幼儿园,宁波市海曙区集士港镇商贸路9号,121.4375459,29.86673641,宁波市,海曙区,集士港镇,幼儿园,330203.0,学前教育,,01010000208A110000B87663C0005C5E4050E8F26FE2DD3D40,121.437904,29.866639,集士港镇三禾幼儿园
44,120.0,2069.0,宁波市第二中学,宁波市共青路7号,121.5363996,29.86732578,宁波市,海曙区,月湖街道,高级中学,330203.0,中等教育,,01010000208A11000040AFDC5E54625E406031E70F09DE3D40,121.543316,29.868093,宁波市第二幼儿园
45,121.0,2074.0,杭州市余杭区闲林白洋畈幼儿园,杭州市余杭区闲林街道闲林西路88号,119.9732493,30.23361,杭州市,余杭区,闲林街道,幼儿园,330110.0,学前教育,,01010000208A11000040797BB749FE5D40C0046EDDCD3B3E40,119.97348,30.233832,闲林白洋畈幼儿园
46,127.0,2162.0,宁波市海曙区镇明中心小学,宁波市海曙区云石街52号，宁波市海曙区云霞路226号,121.525747,29.857685,宁波市,海曙区,段塘街道,小学,330203.0,初等教育,,01010000208A11000018BEBED6A5615E401045813E91DB3D40,121.54199,29.86788,宁波市镇明中心小学
47,129.0,2186.0,宁波市海曙区横街镇凤岙学校,浙江省宁波市海曙区横街镇凤岙村1号,121.3848533,29.85043595,宁波市,海曙区,横街镇,小学,330203.0,初等教育,,01010000208A110000F80AE46FA1585E40B0698F2BB6D93D40,121.38471,29.85015,横街镇凤岙学校
48,138.0,2343.0,杭州市余杭区临平街道中心幼儿园,余杭区临平街道新洲路951号,120.2708069,30.44232771,杭州市,余杭区,临平街道,幼儿园,330110.0,学前教育,,01010000208A110000306E63E654115E4010DC8C633C713E40,120.28332,30.43138,临平街道中心幼儿园
49,139.0,2360.0,杭州市余杭区未来科技城海云幼儿园,杭州市余杭区仓前街道创景路9号,119.9926887,30.2867093,杭州市,余杭区,仓前街道,幼儿园,330110.0,学前教育,,01010000208A110000605C3D3688FF5D40908CE3C765493E40,120.02278,30.27569,杭州未来科技城双语幼儿园
50,140.0,2376.0,义乌市龙回实验小学,义乌市稠江街道永茂路122号,120.0136703,29.29204773,金华市,义乌市,稠江街道,小学,330782.0,初等教育,,01010000208A11000058034AF9DF005E4010EDD4A3C34A3D40,120.013444,29.291985,义乌市龙回实验小学
51,141.0,2435.0,杭州市余杭区未来科技城海曙小学,杭州市余杭区五常街道联创街2-2,120.0263865,30.2943386,杭州市,余杭区,五常街道,小学,330110.0,初等教育,,01010000208A11000028B41E51B0015E40508A4DC6594B3E40,120.02735,30.29438,余杭区未来科技城海曙幼儿园
52,145.0,2592.0,宁波市海曙区鄞江镇中心小学,浙江省宁波市海曙区鄞江镇竹节岭路,121.3550328,29.78431364,宁波市,海曙区,鄞江镇,小学,330203.0,初等教育,,01010000208A11000070A975DBB8565E40406D48C7C8C83D40,121.35125,29.77817,鄞江镇中心幼儿园
53,146.0,2607.0,宁波市海曙区高桥镇中心小学,浙江省宁波市海曙区高桥镇秀丰村,121.4600183,29.89478631,宁波市,海曙区,高桥镇,小学,330203.0,初等教育,,01010000208A110000B0AFC6F0705D5E40407925B710E53D40,121.46472,29.9045,高桥镇中心幼儿园
54,150.0,2697.0,宁波市华光学校,浙江省宁波市海曙区鄞江镇四明东路97弄20号,121.3593395,29.78264113,宁波市,海曙区,鄞江镇,完全中学,330203.0,中等教育,,01010000208A110000E0A32F6BFF565E40D0085B2B5BC83D40,121.35967,29.78226,华光学校
55,154.0,2711.0,杭州市余杭区绿城育华翡翠城学校,杭州市余杭区闲林街道高教路,120.0098154,30.25030815,杭州市,余杭区,闲林街道,九年一贯制学校,330110.0,中等教育,,01010000208A110000B098F2D0A0005E40A00EF33114403E40,120.014,30.24628,绿城育华翡翠城幼儿园
56,159.0,2825.0,杭州市余杭区凤凰幼儿园,杭州市余杭区余杭街道城东路6号,119.9500036,30.25458558,杭州市,余杭区,余杭街道,幼儿园,330110.0,学前教育,,01010000208A11000020C70ADCCCFC5D4020B94C852C413E40,119.94916,30.25508,余杭区凤凰幼儿园
57,165.0,2976.0,宁波市海曙区古林镇中心小学,浙江省宁波市海曙区古林镇古林村1号,121.4380761,29.82871399,宁波市,海曙区,古林镇,小学,330203.0,初等教育,,01010000208A11000010BD5770095C5E4020E78F9926D43D40,121.437399,29.830067,古林镇中心小学
58,167.0,3003.0,宁波市古林职业高级中学,海曙区古林镇中心路270号,121.432776,29.84094937,宁波市,海曙区,古林镇,职业高中学校,330203.0,中等教育,,01010000208A110000F0CF0F9AB25B5E406072357548D73D40,121.43215,29.84027,鄞州区古林职业高级中学
59,169.0,3012.0,杭州市余杭区杭运幼儿园,余杭区良渚街道兰陵路90号,120.121288,30.34400172,杭州市,余杭区,良渚街道,幼儿园,330110.0,学前教育,,01010000208A110000602BAD2EC3075E4080A43E7F10583E40,120.12045,30.34395,余杭区杭运幼儿园
60,184.0,3245.0,宁波市海曙区广济中心小学,宁波市海曙区月湖街道金带巷15号,121.542894,29.871116,宁波市,海曙区,月湖街道,小学,330203.0,初等教育,,01010000208A11000078CC79C6BE625E40B0054B7501DF3D40,121.5098,29.87445,宁波市广济中心小学
61,187.0,3256.0,杭州市余杭区塘栖镇第二幼儿园,杭州市余杭区塘栖镇绿荫街100号,120.1826763,30.47152978,杭州市,余杭区,塘栖镇,幼儿园,330110.0,学前教育,,01010000208A11000008B6F1F7B00B5E40B05E092DB6783E40,120.179555,30.466086,杭州市余杭区塘栖镇第二小学
62,195.0,3399.0,宁波市海曙区鄞江镇琴琴幼儿园,宁波市海曙区鄞江镇王元玮路26号,121.3498552,29.77114938,宁波市,海曙区,鄞江镇,幼儿园,330203.0,学前教育,,01010000208A11000000DBE80664565E40406EB70B6AC53D40,121.350044,29.771328,鄞江镇琴琴幼儿园
63,196.0,3419.0,浙江师范大学附属义乌实验学校,浙江省义乌市北苑街道拥军路209号,120.0402159,29.33945767,金华市,义乌市,北苑街道,初级中学,330782.0,中等教育,,01010000208A110000107EA2E592025E40C06F9EB2E6563D40,120.04062,29.3386,浙江师范大学附属义乌实验学校
64,210.0,3612.0,杭州市余杭区太炎小学,杭州市余杭区余杭街道方井头8号,119.9285192,30.27973164,杭州市,余杭区,余杭街道,小学,330110.0,初等教育,,01010000208A110000B034C8DB6CFB5D40D0DD1C7E9C473E40,119.9353,30.26282,余杭区太炎中学
65,213.0,3637.0,宁波市海曙区古林镇蜃蛟小学,浙江省宁波市海曙区古林镇蜃蛟村裕城路1号,121.3990252,29.82045705,宁波市,海曙区,古林镇,小学,330203.0,初等教育,,01010000208A11000018C416A189595E4050D1297909D23D40,121.39741,29.8181,古林镇蜃蛟幼儿园
66,214.0,3641.0,宁波市市级机关第一幼儿园,宁波市长春路96号,121.5346601,29.87510052,宁波市,海曙区,月湖街道,幼儿园,330203.0,学前教育,,01010000208A11000078FEFEDE37625E405068769606E03D40,121.534597,29.874649,宁波市市级机关第一幼儿园
67,218.0,3771.0,义乌市城西街道中心幼儿园,浙江省义乌市城西街道益公山村,119.9831377,29.2925041,金华市,义乌市,城西街道,幼儿园,330782.0,学前教育,,01010000208A11000060703ABAEBFE5D4030A0888CE14A3D40,119.98242,29.29206,义乌市城西街道中心幼儿园
68,219.0,3790.0,宁波市红旗幼儿园,乌含巷36号,121.5377463,29.87929558,宁波市,海曙区,鼓楼街道,幼儿园,330203.0,学前教育,,01010000208A110000C078416F6A625E4090E9E38319E13D40,121.54784,29.8789,宁波红旗幼儿园
69,225.0,3928.0,义乌市江东街道供店幼儿园,义乌市江东街道供店村,120.0391973,29.24513862,金华市,义乌市,江东街道,幼儿园,330782.0,学前教育,,01010000208A110000882F443582025E40805CA967C13E3D40,120.03938,29.24519,江东街道供店幼儿园
70,226.0,3936.0,杭州市余杭区闲林中心小学,浙江省杭州市余杭区闲林街道文卫路26-1号,119.9784461,30.22013612,杭州市,余杭区,闲林街道,小学,330110.0,初等教育,,01010000208A110000C06285DC9EFE5D40F02E2FD75A383E40,119.9775,30.22303,闲林中心幼儿园
71,235.0,4017.0,义乌市上溪小学,浙江省义乌市上溪镇文明北路59号,119.9307928,29.28742049,金华市,义乌市,上溪镇,小学,330782.0,初等教育,,01010000208A110000C8B6201C92FB5D4010C0A46394493D40,119.93154,29.28741,义乌市上溪幼儿园
72,237.0,4029.0,杭州市文一街小学,杭州市西湖区保俶北路88号,120.1377285,30.28972964,杭州市,西湖区,西溪街道,小学,330106.0,初等教育,,01010000208A11000008832E8BD0085E4060A9D1B82B4A3E40,120.13729,30.28974,杭州市文一街小学
73,238.0,4030.0,杭州市余杭区瓶窑镇第一小学,杭州市余杭区瓶窑镇凤溪路388号,119.9655296,30.39429844,杭州市,余杭区,瓶窑镇,小学,330110.0,初等教育,,01010000208A11000030D2C63CCBFD5D40705E14BEF0643E40,119.96705,30.393,瓶窑镇第一幼儿园
74,239.0,4031.0,浙江省广播电视大学,杭州市教工路42号,120.131911,30.27824655,杭州市,西湖区,西溪街道,广播电视大学,330106.0,高等学校,,01010000208A110000B8A9F13A71085E40102E742A3B473E40,120.111013,30.288627,杭州科技职业技术学院翠苑校区
75,240.0,4043.0,杭州市学军小学,文二路求智巷6号,120.139565,30.28366959,杭州市,西湖区,西溪街道,小学,330106.0,初等教育,,01010000208A11000028F0E1A1EE085E4070EBFB919E483E40,120.13909,30.28423,杭州市学军小学
76,243.0,4079.0,杭州市西湖区枫华府第幼儿园,杭州市华星路6-2号,120.122392,30.28200412,杭州市,西湖区,翠苑街道,幼儿园,330106.0,学前教育,,01010000208A110000485D3345D5075E40D0EA196C31483E40,120.12213,30.28204,枫华府第幼儿园
