,index,name,point_x,point_y,qxmc,gd_point_x,gd_point_y,format_address2
0,0,义乌中未摇篮幼儿园有限公司,120.048096,29.303992,义乌市,120.0,30.0,浙江省杭州市富阳区大源镇池滨路45号
1,1,义乌市河畔幼儿园,120.0675311,29.31759667,义乌市,120.075058,29.306841,浙江省金华市义乌市稠城街道义乌市义乌市政府大楼
2,2,杭州市余杭区崇贤第三幼儿园,120.1450033,30.38761333,余杭区,120.182282,30.396776,浙江省杭州市临平区崇贤街道贺康浜3号楼
3,3,宁波市海曙区清林闲庭幼儿园,121.526459,29.903905,海曙区,121.529985,29.901287,浙江省宁波市海曙区望春街道宁波市实验幼儿园闲庭园区
4,4,杭州市余杭区未来科技城海创小学,120.0130597,30.27607851,余杭区,119.979474,30.274098,浙江省杭州市余杭区仓前街道文一西路1521号杭州市余杭区人民政府
5,5,义乌市黄山小学,119.9124289,29.3366036,义乌市,117.719032,29.858428,安徽省黄山市祁门县祁山镇世纪园小区祁门县祁山小学
6,6,宁波市海曙区石碶街道冯家小学,121.4862029,29.82409963,海曙区,121.490827,29.821667,浙江省宁波市海曙区石碶街道宁波市海曙区冯家小学
7,7,杭州市余杭区大华西溪风情幼儿园,120.0374973,30.27942042,余杭区,120.042275,30.277076,浙江省杭州市余杭区五常街道西溪风情杭州维翰学校
8,8,杭州市余杭区英特外国语学校,119.9691041,30.24389338,余杭区,119.973975,30.242362,浙江省杭州市余杭区余杭街道上文山村杭州英特外国语学校
9,9,杭州市余杭区运河兴旺幼儿园,120.2951604,30.45909794,余杭区,120.299646,30.457035,浙江省杭州市临平区运河街道兴旺幼儿园(东湖北路)东华公寓(东湖北路)
10,10,义乌市福田爱德幼儿园,120.1195632,29.37959418,义乌市,120.075058,29.306841,浙江省金华市义乌市稠城街道义乌市义乌市政府大楼
11,11,杭州市余杭区英才新明半岛幼儿园,119.951239,30.245973,余杭区,119.952157,30.240646,浙江省杭州市余杭区中泰街道桃源社区新明半岛
12,12,宁波市海曙区集士港镇白岳幼儿园,121.4228335,29.88934498,海曙区,121.427482,29.886946,浙江省宁波市海曙区集士港镇白岳幼儿园
13,13,义乌市廿三里爱的宝幼儿园,120.1747317,29.33394975,义乌市,120.179415,29.331301,浙江省金华市义乌市廿三里街道武岩路爱的宝幼儿园
14,14,宁波市海曙区横街镇绿茵幼儿园,121.3924708,29.85274093,海曙区,121.397126,29.850711,浙江省宁波市海曙区横街镇横梅路绿茵幼儿园(芝岭村社区卫生服务站西南)
15,15,义乌市后宅金色摇篮中天幼儿园,120.0383829,29.36607289,义乌市,120.050814,29.365274,浙江省金华市义乌市后宅街道起航路16号
16,16,宁波市海曙区石碶街道栎社小学,121.4805655,29.80817883,海曙区,121.485017,29.8058,浙江省宁波市海曙区石碶街道栎社小学
17,17,杭州市余杭区小博士银领时代幼儿园,120.2592261,30.39804681,余杭区,120.261584,30.395657,浙江省杭州市临平区星桥街道银领时代
18,18,义乌市佛堂小星星幼儿园,120.016575,29.19713846,义乌市,120.021289,29.194626,浙江省金华市义乌市佛堂镇清润路18号
19,19,义乌市廿三里喜洋洋幼儿园,120.181975,29.34152324,义乌市,120.186722,29.340952,浙江省金华市义乌市廿三里街道喜洋洋幼儿园
20,20,义乌市上溪镇中心幼儿园,119.9296242,29.2712983,义乌市,119.9359,29.284338,浙江省金华市义乌市上溪镇义乌市上溪幼儿园
21,21,宁波市海曙区高桥镇童瑶幼儿园,121.4894923,29.87922535,海曙区,121.493952,29.876794,浙江省宁波市海曙区高桥镇童瑶幼儿园(宋家漕路)晴园
22,22,宁波市海曙区古林镇张家潭幼儿园,121.471022,29.84562605,海曙区,121.475426,29.843249,浙江省宁波市海曙区古林镇校园警务古林镇张家潭幼儿园
23,23,义乌市雪峰初中,120.002208,29.208511,义乌市,120.075058,29.306841,浙江省金华市义乌市稠城街道义乌市义乌市政府大楼
24,24,义乌市义亭镇王阡幼儿园,119.9424861,29.23380239,义乌市,119.946733,29.231009,浙江省金华市义乌市义亭镇义乌市义亭镇王阡幼儿园
