,level_0,index,name,point_x,point_y,qxmc,gd_point_x,gd_point_y,format_address2
0,3,3,宁波市海曙区清林闲庭幼儿园,121.526459,29.903905,海曙区,121.529985,29.901287,浙江省宁波市海曙区望春街道宁波市实验幼儿园闲庭园区
1,4,4,杭州市余杭区未来科技城海创小学,120.0130597,30.27607851,余杭区,119.979474,30.274098,浙江省杭州市余杭区仓前街道文一西路1521号杭州市余杭区人民政府
2,6,6,宁波市海曙区石碶街道冯家小学,121.4862029,29.82409963,海曙区,121.490827,29.821667,浙江省宁波市海曙区石碶街道宁波市海曙区冯家小学
3,7,7,杭州市余杭区大华西溪风情幼儿园,120.0374973,30.27942042,余杭区,120.042275,30.277076,浙江省杭州市余杭区五常街道西溪风情杭州维翰学校
4,8,8,杭州市余杭区英特外国语学校,119.9691041,30.24389338,余杭区,119.973975,30.242362,浙江省杭州市余杭区余杭街道上文山村杭州英特外国语学校
5,9,9,杭州市余杭区运河兴旺幼儿园,120.2951604,30.45909794,余杭区,120.299646,30.457035,浙江省杭州市临平区运河街道兴旺幼儿园(东湖北路)东华公寓(东湖北路)
6,10,10,义乌市福田爱德幼儿园,120.1195632,29.37959418,义乌市,120.075058,29.306841,浙江省金华市义乌市稠城街道义乌市义乌市政府大楼
7,11,11,杭州市余杭区英才新明半岛幼儿园,119.951239,30.245973,余杭区,119.952157,30.240646,浙江省杭州市余杭区中泰街道桃源社区新明半岛
8,12,12,宁波市海曙区集士港镇白岳幼儿园,121.4228335,29.88934498,海曙区,121.427482,29.886946,浙江省宁波市海曙区集士港镇白岳幼儿园
9,14,14,宁波市海曙区横街镇绿茵幼儿园,121.3924708,29.85274093,海曙区,121.397126,29.850711,浙江省宁波市海曙区横街镇横梅路绿茵幼儿园(芝岭村社区卫生服务站西南)
10,16,16,宁波市海曙区石碶街道栎社小学,121.4805655,29.80817883,海曙区,121.485017,29.8058,浙江省宁波市海曙区石碶街道栎社小学
11,17,17,杭州市余杭区小博士银领时代幼儿园,120.2592261,30.39804681,余杭区,120.261584,30.395657,浙江省杭州市临平区星桥街道银领时代
12,21,21,宁波市海曙区高桥镇童瑶幼儿园,121.4894923,29.87922535,海曙区,121.493952,29.876794,浙江省宁波市海曙区高桥镇童瑶幼儿园(宋家漕路)晴园
13,22,22,宁波市海曙区古林镇张家潭幼儿园,121.471022,29.84562605,海曙区,121.475426,29.843249,浙江省宁波市海曙区古林镇校园警务古林镇张家潭幼儿园
14,24,24,义乌市义亭镇王阡幼儿园,119.9424861,29.23380239,义乌市,119.946733,29.231009,浙江省金华市义乌市义亭镇义乌市义亭镇王阡幼儿园
15,26,26,宁波市东恩中学,121.5454994,29.85945445,海曙区,121.550649,29.857877,浙江省宁波市海曙区南门街道东恩中学
16,28,28,宁波市海曙区鄞江镇燕玲学校,121.3681753,29.80637072,海曙区,121.372964,29.804,浙江省宁波市海曙区鄞江镇金岩路鄞江镇燕玲学校
17,29,29,义乌市福田鑫焕幼儿园,120.1005592,29.34425551,义乌市,120.105269,29.341869,浙江省金华市义乌市福田街道银海鑫焕幼儿园银海2区
18,30,30,杭州市余杭区江南春·白云深处幼儿园,119.9670737,30.24536868,余杭区,119.971679,30.242819,浙江省杭州市余杭区余杭街道江南春城金成·白云深处
19,31,31,宁波市海曙区石碶街道栎社幼儿园,121.4790015,29.80800952,海曙区,121.478892,29.801996,浙江省宁波市海曙区石碶街道鄞州区石碶栎社幼儿园
20,32,32,义乌市北苑街道时代花园优幼幼稚园,120.053927,29.324774,义乌市,120.059461,29.320194,浙江省金华市义乌市北苑街道义乌市时代花园优幼幼稚园时代花园丹溪三区
21,34,34,杭州市余杭区良渚七贤幼儿园,120.0019243,30.35325935,余杭区,120.051016,30.379881,浙江省杭州市余杭区良渚街道良渚村
