objectid,ame,ddress,point_x,point_y,dsmc,qxmc,xzmc,xxlb,xzqdm,dj,gdb_geomattr_data,shape
6,义乌中未摇篮幼儿园有限公司,义乌市稠江街道童,120.048096,29.303992,金华市,义乌市,稠江街道,幼儿园,330782,学前教育,NULL,01010000208A11000060C43E0114035E40E03E726BD24D3D40
19,义乌市河畔幼儿园,浙江省金华市义乌市北苑街道建设社区居委会,120.0675311,29.31759667,金华市,义乌市,北苑街道,幼儿园,330782,学前教育,NULL,01010000208A11000058121C6E52045E40807104044E513D40
25,杭州市余杭区崇贤第三幼儿园,杭州市余杭区崇贤街道沾丁路与前村街交叉口南,120.1450033,30.38761333,杭州市,余杭区,崇贤街道,幼儿园,330110,学前教育,NULL,01010000208A110000D0BE07BC47095E40F04087A03A633E40
26,宁波市海曙区清林闲庭幼儿园,清林闲庭85号,121.526459,29.903905,宁波市,海曙区,望春街道,幼儿园,330203,学前教育,NULL,01010000208A110000D8EB1681B1615E40E0B06D5166E73D40
67,杭州市余杭区未来科技城海创小学,浙江省杭州市余杭区五常街道永寿街128号,120.0130597,30.27607851,杭州市,余杭区,闲林街道,小学,330110,初等教育,NULL,01010000208A110000B8775FF8D5005E40202BD414AD463E40
85,义乌市黄山小学,义乌市上溪镇黄山村,119.9124289,29.3366036,金华市,义乌市,上溪镇,小学,NULL,初等教育,NULL,01010000208A110000D8F6FD3B65FA5D40504E56A72B563D40
104,宁波市海曙区石碶街道冯家小学,宁波市海曙区石碶街道冯家村1号,121.4862029,29.82409963,宁波市,海曙区,石碶街道,小学,330226,初等教育,NULL,01010000208A110000D842EAF21D5F5E4060337B31F8D23D40
105,杭州市余杭区大华西溪风情幼儿园,浙江省杭州市余杭区五常街道大华西溪风情小区内,120.0374973,30.27942042,杭州市,余杭区,五常街道,幼儿园,330110,学前教育,NULL,01010000208A110000B815F35A66025E408042A81888473E40
118,杭州市余杭区英特外国语学校,杭州市余杭区上和路1号,119.9691041,30.24389338,杭州市,余杭区,余杭街道,完全中学,330110,中等教育,NULL,01010000208A11000048811ECD05FE5D401084E6CB6F3E3E40
127,杭州市余杭区运河兴旺幼儿园,杭州市余杭区运河街道东湖北路南栅口社区自强链条,120.2951604,30.45909794,杭州市,余杭区,运河街道,幼儿园,330110,学前教育,NULL,01010000208A110000E02B45E8E3125E4080AA497187753E40
149,义乌市福田爱德幼儿园,义乌市福田街道下西陶村56-58号,120.1195632,29.37959418,金华市,义乌市,福田街道,幼儿园,330782,学前教育,NULL,01010000208A110000C0B65DECA6075E4010AC7B152D613D40
169,杭州市余杭区英才新明半岛幼儿园,余杭区中泰街道新明半岛商住区内,119.951239,30.245973,杭州市,余杭区,中泰街道,幼儿园,330110,学前教育,NULL,01010000208A11000080EB8A19E1FC5D40F0B22616F83E3E40
180,宁波市海曙区集士港镇白岳幼儿园,宁波市海曙区集士港镇岳童村童家横221号,121.4228335,29.88934498,宁波市,海曙区,集士港镇,幼儿园,330203,学前教育,NULL,01010000208A11000080812EB40F5B5E404024E51CACE33D40
201,义乌市廿三里爱的宝幼儿园,义乌市廿三里街道上社新村B17幢,120.1747317,29.33394975,金华市,义乌市,廿三里街,幼儿园,330782,学前教育,NULL,01010000208A110000E8C8E5CD2E0B5E40E0C116BB7D553D40
219,宁波市海曙区横街镇绿茵幼儿园,宁波市海曙区横街镇横街南路11号,121.3924708,29.85274093,宁波市,海曙区,横街镇,幼儿园,330203,学前教育,NULL,01010000208A110000C08FAB3D1E595E400004C23A4DDA3D40
220,义乌市后宅金色摇篮中天幼儿园,义乌市后宅街道北站四区123-125号,120.0383829,29.36607289,金华市,义乌市,后宅街道,幼儿园,330782,学前教育,NULL,01010000208A110000B0EEB6DD74025E40009EE5F3B65D3D40
222,宁波市海曙区石碶街道栎社小学,栎社村74号,121.4805655,29.80817883,宁波市,海曙区,石碶街道,小学,330203,初等教育,NULL,01010000208A110000682FD695C15E5E40F076D0CEE4CE3D40
281,杭州市余杭区小博士银领时代幼儿园,浙江省杭州市余杭区星桥街道银领时代1号楼,120.2592261,30.39804681,杭州市,余杭区,星桥街道,幼儿园,330110,学前教育,NULL,01010000208A110000208A3E2997105E40A0574265E6653E40
314,义乌市佛堂小星星幼儿园,佛堂镇小吴溪33栋,120.016575,29.19713846,金华市,义乌市,佛堂镇,幼儿园,330782,学前教育,NULL,01010000208A110000A8E9A7900F015E40503082AA77323D40
357,义乌市廿三里喜洋洋幼儿园,义乌市廿三里街道王店村西区7号,120.181975,29.34152324,金华市,义乌市,廿三里街,幼儿园,330782,学前教育,NULL,01010000208A110000B0E58D7AA50B5E40501940116E573D40
360,义乌市上溪镇中心幼儿园,浙江省义乌市上溪镇富塘下村上溪镇中心幼儿园,119.9296242,29.2712983,金华市,义乌市,上溪镇,幼儿园,330782,学前教育,NULL,01010000208A110000A8A25BF67EFB5D40F0233FCE73453D40
361,宁波市海曙区高桥镇童瑶幼儿园,宁波市海曙区高桥镇宋家漕村20号,121.4894923,29.87922535,宁波市,海曙区,高桥镇,幼儿园,330203,学前教育,NULL,01010000208A110000F0977CD7535F5E4070109CE914E13D40
369,宁波市海曙区古林镇张家潭幼儿园,宁波市海曙区古林镇张家潭村1号,121.471022,29.84562605,宁波市,海曙区,古林镇,幼儿园,330203,学前教育,NULL,01010000208A110000A0945A39255E5E405065E5F27AD83D40
