,model,class,MSE
0,arima,幼儿园数,181052.2284315234
1,arima,小学数,0.0
2,arima,中学数,410425.0766666665
3,poly,幼儿园数,75961.31035733626
4,poly,小学数,20314372.173862033
5,poly,中学数,35428.312337239586
6,panet,幼儿园数,816134.1559476852
7,panet,小学数,2489.858918686708
8,panet,中学数,533.0425149202347
9,lgbm_arima,幼儿园数,23909.536498600908
10,lgbm_arima,小学数,27.598005789643953
11,lgbm_arima,中学数,687.8291515659157
12,lgbm_poly,幼儿园数,23909.536498600908
13,lgbm_poly,小学数,27.598005789643953
14,lgbm_poly,中学数,687.8291515659157
15,lgbm_panet,幼儿园数,85862.41574108768
16,lgbm_panet,小学数,108622.6102126045
17,lgbm_panet,中学数,5644.499531841306
