,model,class,MSE
0,arima,幼儿园平均教职工数,24.737288205485417
1,arima,小学平均教职工数,14.112633333357024
2,arima,中学平均教职工数,2.570815204206839
3,poly,幼儿园平均教职工数,59.72811758885325
4,poly,小学平均教职工数,231.3178517112069
5,poly,中学平均教职工数,9.630269409302278
6,panet,幼儿园平均教职工数,37.246516520665445
7,panet,小学平均教职工数,147.7782447395882
8,panet,中学平均教职工数,172.8514007458672
9,lgbm_ar,幼儿园平均教职工数,10.740118501375752
10,lgbm_ar,小学平均教职工数,38.88661343065629
11,lgbm_ar,中学平均教职工数,1.7361363979560533
12,lgbm_po,幼儿园平均教职工数,6.804032212489216
13,lgbm_po,小学平均教职工数,8.162331752297602
14,lgbm_po,中学平均教职工数,3.1441817114245345
15,lgbm_pa,幼儿园平均教职工数,54.29400989427794
16,lgbm_pa,小学平均教职工数,388.3924451226417
17,lgbm_pa,中学平均教职工数,214.45997935624288
