,X,Y,Class
0,1978,523.92,True
1,1979,492.17,True
2,1980,501.45,True
3,1981,480.27,True
4,1982,485.01,True
5,1983,490.07,True
6,1984,519.32,True
7,1985,548.56,True
8,1986,558.37,True
9,1987,546.77,True
10,1988,500.86,True
11,1989,482.68,True
12,1990,505.88,True
13,1991,534.61,True
14,1992,573.8,True
15,1993,567.72,True
16,1994,585.28,True
17,1995,646.82,True
18,1996,690.25,True
19,1997,699.12,True
20,1998,695.88,True
21,1999,761.77,True
22,2000,848.81,True
23,2001,906.9,True
24,2002,971.95,True
25,2003,1002.12,True
26,2004,1020.08,True
27,2005,1034.39,True
28,2006,1066.78,True
29,2007,1108.78,True
30,2008,1135.04,True
31,2009,1114.62,True
32,2010,1102.64,True
33,2011,1056.61,True
34,2012,1027.23,True
35,2013,1011.5,True
36,2014,1004.34,True
37,2015,990.2,True
38,2016,990.27,True
39,2017,1007.26,True
40,2018,1021.82,True
41,2019,1032.49,True
42,2020,1031.81,True
43,2021,1031.1300000000028,Pred
44,2022,1030.4500000000057,Pred
45,2023,1029.7700000000086,Pred
46,2024,1029.0900000000115,Pred
47,2025,1028.4100000000144,Pred
48,2026,1027.7300000000173,Pred
