,X,Y,Class
0,1978,30.0,True
1,1979,30.0,True
2,1980,33.77,True
3,1981,33.55,True
4,1982,33.19,True
5,1983,33.03,True
6,1984,33.01,True
7,1985,33.82,True
8,1986,33.8,True
9,1987,33.65,True
10,1988,34.02,True
11,1989,34.75,True
12,1990,34.57,True
13,1991,35.11,True
14,1992,37.07,True
15,1993,37.93,True
16,1994,38.37,True
17,1995,41.08,True
18,1996,43.67,True
19,1997,46.26,True
20,1998,48.31,True
21,1999,52.69,True
22,2000,56.19,True
23,2001,61.03,True
24,2002,65.62,True
25,2003,69.68,True
26,2004,73.48,True
27,2005,77.22,True
28,2006,80.6,True
29,2007,83.4,True
30,2008,85.65,True
31,2009,87.38,True
32,2010,89.97,True
33,2011,90.97,True
34,2012,91.72,True
35,2013,92.07,True
36,2014,93.46,True
37,2015,94.24,True
38,2016,95.02,True
39,2017,95.55,True
40,2018,96.57,True
41,2019,97.87,True
42,2020,98.99,True
43,2021,99.66778492107515,Pred
44,2022,100.15272055047703,Pred
45,2023,100.4486381515401,Pred
46,2024,100.56010563941179,Pred
47,2025,100.49238385676603,Pred
48,2026,100.25138107676594,Pred
