,X,Y,Class
0,1978,4097.0,True
1,1979,3680.0,True
2,1980,3391.0,True
3,1981,3243.0,True
4,1982,3115.0,True
5,1983,3161.0,True
6,1984,3199.0,True
7,1985,3235.0,True
8,1986,3296.0,True
9,1987,3346.0,True
10,1988,3389.0,True
11,1989,3384.0,True
12,1990,3353.0,True
13,1991,3381.0,True
14,1992,3283.0,True
15,1993,3259.0,True
16,1994,3315.0,True
17,1995,3255.0,True
18,1996,3240.0,True
19,1997,3186.0,True
20,1998,3128.0,True
21,1999,2995.0,True
22,2000,2940.0,True
23,2001,2900.0,True
24,2002,2781.0,True
25,2003,2695.0,True
26,2004,2609.0,True
27,2005,2524.0,True
28,2006,2459.0,True
29,2007,2404.0,True
30,2008,2377.0,True
31,2009,2353.0,True
32,2010,2314.0,True
33,2011,2314.0,True
34,2012,2306.0,True
35,2013,2296.0,True
36,2014,2280.0,True
37,2015,2275.0,True
38,2016,2291.0,True
39,2017,2315.0,True
40,2018,2333.0,True
41,2019,2345.0,True
42,2020,2370.0,True
43,2021,2395.0,Pred
44,2022,2420.0,Pred
45,2023,2445.0,Pred
46,2024,2470.0,Pred
47,2025,2495.0,Pred
48,2026,2520.0,Pred
