,X,Y,Class
0,1978,4.06,True
1,1979,4.31,True
2,1980,4.42,True
3,1981,4.31,True
4,1982,4.34,True
5,1983,4.3,True
6,1984,4.29,True
7,1985,4.41,True
8,1986,4.45,True
9,1987,4.51,True
10,1988,4.7,True
11,1989,4.93,True
12,1990,4.68,True
13,1991,5.04,True
14,1992,5.53,True
15,1993,6.02,True
16,1994,6.52,True
17,1995,7.01,True
18,1996,7.62,True
19,1997,8.55,True
20,1998,10.16,True
21,1999,12.7,True
22,2000,14.89,True
23,2001,17.64,True
24,2002,19.61,True
25,2003,22.78,True
26,2004,26.28,True
27,2005,29.16,True
28,2006,32.69,True
29,2007,37.75,True
30,2008,41.55,True
31,2009,45.0,True
32,2010,46.53,True
33,2011,48.76,True
34,2012,51.43,True
35,2013,57.18,True
36,2014,61.18,True
37,2015,62.12,True
38,2016,63.39,True
39,2017,64.64,True
40,2018,66.27,True
41,2019,67.97,True
42,2020,69.64,True
43,2021,71.31000000000196,Pred
44,2022,72.98000000000393,Pred
45,2023,74.65000000000589,Pred
46,2024,76.32000000000785,Pred
47,2025,77.99000000000981,Pred
48,2026,79.66000000001178,Pred
