,X,Y,Class
0,1978,91.42,True
1,1979,91.42,True
2,1980,61.4,True
3,1981,80.17,True
4,1982,69.46,True
5,1983,77.11,True
6,1984,52.69,True
7,1985,52.46,True
8,1986,58.1,True
9,1987,60.79,True
10,1988,63.8,True
11,1989,61.59,True
12,1990,63.57,True
13,1991,76.25,True
14,1992,95.64,True
15,1993,106.36,True
16,1994,84.86,True
17,1995,84.31,True
18,1996,83.05,True
19,1997,77.56,True
20,1998,75.28,True
21,1999,72.91,True
22,2000,74.6,True
23,2001,92.1,True
24,2002,98.67,True
25,2003,102.04,True
26,2004,112.47,True
27,2005,115.25,True
28,2006,121.46,True
29,2007,141.95,True
30,2008,156.03,True
31,2009,165.95,True
32,2010,185.59,True
33,2011,193.95,True
34,2012,197.04,True
35,2013,202.93,True
36,2014,209.39,True
37,2015,213.47,True
38,2016,218.7,True
39,2017,226.49,True
40,2018,228.81,True
41,2019,234.52,True
42,2020,247.92,True
43,2021,255.22761894222367,Pred
44,2022,262.5352378844473,Pred
45,2023,269.842856826671,Pred
46,2024,277.15047576889464,Pred
47,2025,284.4580947111183,Pred
48,2026,291.76571365334195,Pred
