,X,Y,Class
0,1978,4.32,True
1,1979,4.32,True
2,1980,2.92,True
3,1981,3.96,True
4,1982,3.47,True
5,1983,3.79,True
6,1984,2.5,True
7,1985,2.47,True
8,1986,2.76,True
9,1987,2.81,True
10,1988,3.03,True
11,1989,3.21,True
12,1990,3.37,True
13,1991,3.71,True
14,1992,4.16,True
15,1993,4.74,True
16,1994,4.1,True
17,1995,4.19,True
18,1996,4.23,True
19,1997,4.22,True
20,1998,4.18,True
21,1999,4.14,True
22,2000,4.5,True
23,2001,5.81,True
24,2002,6.29,True
25,2003,7.18,True
26,2004,8.07,True
27,2005,8.6,True
28,2006,9.29,True
29,2007,11.14,True
30,2008,12.5,True
31,2009,13.9,True
32,2010,15.94,True
33,2011,17.46,True
34,2012,18.86,True
35,2013,20.65,True
36,2014,22.58,True
37,2015,23.84,True
38,2016,25.47,True
39,2017,26.78,True
40,2018,28.42,True
41,2019,30.27,True
42,2020,33.04,True
43,2021,34.94854595458895,Pred
44,2022,37.22891727743632,Pred
45,2023,39.27328158394995,Pred
46,2024,41.65950631222074,Pred
47,2025,43.83821175746414,Pred
48,2026,46.33169428063497,Pred
