,X,Y,Class
0,1978,3100.0,True
1,1979,3100.0,True
2,1980,7067.0,True
3,1981,5235.0,True
4,1982,6409.0,True
5,1983,6120.0,True
6,1984,11511.0,True
7,1985,12468.0,True
8,1986,12375.0,True
9,1987,13366.0,True
10,1988,12590.0,True
11,1989,12153.0,True
12,1990,11824.0,True
13,1991,11242.0,True
14,1992,9860.0,True
15,1993,9179.0,True
16,1994,11705.0,True
17,1995,11794.0,True
18,1996,11915.0,True
19,1997,12920.0,True
20,1998,14068.0,True
21,1999,14864.0,True
22,2000,15073.0,True
23,2001,12501.0,True
24,2002,11920.0,True
25,2003,11560.0,True
26,2004,11367.0,True
27,2005,11472.0,True
28,2006,11437.0,True
29,2007,10411.0,True
30,2008,10212.0,True
31,2009,10067.0,True
32,2010,9863.0,True
33,2011,9649.0,True
34,2012,9573.0,True
35,2013,9209.0,True
36,2014,8871.0,True
37,2015,8908.0,True
38,2016,8771.0,True
39,2017,8645.0,True
40,2018,8453.0,True
41,2019,8261.0,True
42,2020,8009.0,True
43,2021,7842.772050543167,Pred
44,2022,7676.544101086334,Pred
45,2023,7510.316151629501,Pred
46,2024,7344.088202172668,Pred
47,2025,7177.8602527158355,Pred
48,2026,7011.632303259003,Pred
