,X,Y,Class
0,1978,112.68,True
1,1979,114.27,True
2,1980,115.69,True
3,1981,112.15,True
4,1982,109.29,True
5,1983,106.6,True
6,1984,105.46,True
7,1985,105.45,True
8,1986,106.21,True
9,1987,105.84,True
10,1988,108.94,True
11,1989,114.9,True
12,1990,117.12,True
13,1991,122.1,True
14,1992,130.11,True
15,1993,141.99,True
16,1994,154.49,True
17,1995,160.61,True
18,1996,170.0,True
19,1997,187.09,True
20,1998,216.11,True
21,1999,263.27,True
22,2000,299.8,True
23,2001,346.28,True
24,2002,381.94,True
25,2003,441.94,True
26,2004,513.9,True
27,2005,561.31,True
28,2006,617.15,True
29,2007,698.88,True
30,2008,755.18,True
31,2009,793.02,True
32,2010,833.33,True
33,2011,905.42,True
34,2012,937.11,True
35,2013,1028.18,True
36,2014,1074.24,True
37,2015,1081.79,True
38,2016,1075.82,True
39,2017,1072.76,True
40,2018,1092.64,True
41,2019,1112.45,True
42,2020,1129.48,True
43,1978,112.39096603947002,Pred
44,1979,112.39096603947002,Pred
45,1980,111.75725913750247,Pred
46,1981,109.62977375740593,Pred
47,1982,108.99606685543839,Pred
48,1983,108.99606685543839,Pred
49,1984,107.52200344808185,Pred
50,1985,107.52200344808185,Pred
51,1986,107.52200344808185,Pred
52,1987,109.04405418505232,Pred
53,1988,109.04405418505232,Pred
54,1989,109.04405418505232,Pred
55,1990,122.42786297438374,Pred
56,1991,122.42786297438374,Pred
57,1992,122.42786297438374,Pred
58,1993,153.4271102849186,Pred
59,1994,153.4271102849186,Pred
60,1995,153.4271102849186,Pred
61,1996,190.2766092161264,Pred
62,1997,190.2766092161264,Pred
63,1998,190.2766092161264,Pred
64,1999,304.4578265179013,Pred
65,2000,304.4578265179013,Pred
66,2001,304.4578265179013,Pred
67,2002,455.16297679226227,Pred
68,2003,455.16297679226227,Pred
69,2004,455.16297679226227,Pred
70,2005,623.945873480254,Pred
71,2006,623.945873480254,Pred
72,2007,623.945873480254,Pred
73,2008,784.5827371450176,Pred
74,2009,784.5827371450176,Pred
75,2010,784.5827371450176,Pred
76,2011,965.6134652358288,Pred
77,2012,965.6134652358288,Pred
78,2013,965.6134652358288,Pred
79,2014,1077.4780934986782,Pred
80,2015,1077.4780934986782,Pred
81,2016,1077.4780934986782,Pred
82,2017,1090.1428268566378,Pred
83,2018,1090.1428268566378,Pred
84,2019,1090.1428268566378,Pred
85,2020,1126.9592681995648,Pred
86,2021,1126.9592681995648,Pred
87,2022,1126.9592681995648,Pred
88,2023,1126.9592681995648,Pred
89,2024,1126.9592681995648,Pred
90,2025,1126.9592681995648,Pred
91,2026,1126.9592681995648,Pred
