,X,Y,Class
0,1978,4.06,True
1,1979,4.31,True
2,1980,4.42,True
3,1981,4.31,True
4,1982,4.34,True
5,1983,4.3,True
6,1984,4.29,True
7,1985,4.41,True
8,1986,4.45,True
9,1987,4.51,True
10,1988,4.7,True
11,1989,4.93,True
12,1990,4.68,True
13,1991,5.04,True
14,1992,5.53,True
15,1993,6.02,True
16,1994,6.52,True
17,1995,7.01,True
18,1996,7.62,True
19,1997,8.55,True
20,1998,10.16,True
21,1999,12.7,True
22,2000,14.89,True
23,2001,17.64,True
24,2002,19.61,True
25,2003,22.78,True
26,2004,26.28,True
27,2005,29.16,True
28,2006,32.69,True
29,2007,37.75,True
30,2008,41.55,True
31,2009,45.0,True
32,2010,46.53,True
33,2011,48.76,True
34,2012,51.43,True
35,2013,57.18,True
36,2014,61.18,True
37,2015,62.12,True
38,2016,63.39,True
39,2017,64.64,True
40,2018,66.27,True
41,2019,67.97,True
42,2020,69.64,True
43,1978,4.044431229817291,Pred
44,1979,4.281505765309647,Pred
45,1980,4.416116963671898,Pred
46,1981,4.320897445524316,Pred
47,1982,4.356485459263866,Pred
48,1983,4.326640528869801,Pred
49,1984,4.268901667398518,Pred
50,1985,4.40347400891051,Pred
51,1986,4.444117206114672,Pred
52,1987,4.546410712157867,Pred
53,1988,4.656713131853172,Pred
54,1989,4.924787087915908,Pred
55,1990,4.718822268074986,Pred
56,1991,5.025572077373948,Pred
57,1992,5.531057189915888,Pred
58,1993,6.029127845837207,Pred
59,1994,6.561105697680041,Pred
60,1995,6.93935608025739,Pred
61,1996,7.66154251857298,Pred
62,1997,8.532308017500302,Pred
63,1998,10.128125798463465,Pred
64,1999,13.681349461143315,Pred
65,2000,13.681349461143315,Pred
66,2001,17.705203545640696,Pred
67,2002,19.60641966893757,Pred
68,2003,22.751313695212353,Pred
69,2004,26.26031312359556,Pred
70,2005,30.372582705585415,Pred
71,2006,30.372582705585415,Pred
72,2007,37.73032706401878,Pred
73,2008,41.54461763985285,Pred
74,2009,45.3003265441387,Pred
75,2010,45.3003265441387,Pred
76,2011,48.879291983145585,Pred
77,2012,51.5065215607612,Pred
78,2013,57.14427950433785,Pred
79,2014,61.224500625562825,Pred
80,2015,62.101472318303905,Pred
81,2016,63.3618115644467,Pred
82,2017,64.61945096116833,Pred
83,2018,66.33299204552613,Pred
84,2019,67.90105254436278,Pred
85,2020,69.64776022882721,Pred
86,2021,69.64776022882721,Pred
87,2022,69.64776022882721,Pred
88,2023,69.64776022882721,Pred
89,2024,69.64776022882721,Pred
90,2025,69.64776022882721,Pred
91,2026,69.64776022882721,Pred
