,X,Y,Class
0,1978,3100.0,True
1,1979,3100.0,True
2,1980,7067.0,True
3,1981,5235.0,True
4,1982,6409.0,True
5,1983,6120.0,True
6,1984,11511.0,True
7,1985,12468.0,True
8,1986,12375.0,True
9,1987,13366.0,True
10,1988,12590.0,True
11,1989,12153.0,True
12,1990,11824.0,True
13,1991,11242.0,True
14,1992,9860.0,True
15,1993,9179.0,True
16,1994,11705.0,True
17,1995,11794.0,True
18,1996,11915.0,True
19,1997,12920.0,True
20,1998,14068.0,True
21,1999,14864.0,True
22,2000,15073.0,True
23,2001,12501.0,True
24,2002,11920.0,True
25,2003,11560.0,True
26,2004,11367.0,True
27,2005,11472.0,True
28,2006,11437.0,True
29,2007,10411.0,True
30,2008,10212.0,True
31,2009,10067.0,True
32,2010,9863.0,True
33,2011,9649.0,True
34,2012,9573.0,True
35,2013,9209.0,True
36,2014,8871.0,True
37,2015,8908.0,True
38,2016,8771.0,True
39,2017,8645.0,True
40,2018,8453.0,True
41,2019,8261.0,True
42,2020,8009.0,True
43,1978,3135.1094497935796,Pred
44,1979,3135.1094497935796,Pred
45,1980,7011.780885316412,Pred
46,1981,5185.543641027622,Pred
47,1982,6305.467438948055,Pred
48,1983,6305.467438948055,Pred
49,1984,12170.453048520561,Pred
50,1985,12170.453048520561,Pred
51,1986,12170.453048520561,Pred
52,1987,12666.03801789554,Pred
53,1988,12666.03801789554,Pred
54,1989,12666.03801789554,Pred
55,1990,10847.465420574623,Pred
56,1991,10847.465420574623,Pred
57,1992,10847.465420574623,Pred
58,1993,10949.987532295432,Pred
59,1994,10949.987532295432,Pred
60,1995,10949.987532295432,Pred
61,1996,13043.206812385413,Pred
62,1997,13043.206812385413,Pred
63,1998,13043.206812385413,Pred
64,1999,13984.880523653415,Pred
65,2000,13984.880523653415,Pred
66,2001,13984.880523653415,Pred
67,2002,11598.560380836061,Pred
68,2003,11598.560380836061,Pred
69,2004,11598.560380836061,Pred
70,2005,11074.653789125574,Pred
71,2006,11074.653789125574,Pred
72,2007,11074.653789125574,Pred
73,2008,10053.188667737437,Pred
74,2009,10053.188667737437,Pred
75,2010,10053.188667737437,Pred
76,2011,9467.651174751492,Pred
77,2012,9467.651174751492,Pred
78,2013,9467.651174751492,Pred
79,2014,8836.55725972422,Pred
80,2015,8836.55725972422,Pred
81,2016,8836.55725972422,Pred
82,2017,8487.988346263985,Pred
83,2018,8487.988346263985,Pred
84,2019,8487.988346263985,Pred
85,2020,8058.653374545155,Pred
86,2021,8058.653374545155,Pred
87,2022,8058.653374545155,Pred
88,2023,8058.653374545155,Pred
89,2024,8058.653374545155,Pred
90,2025,8058.653374545155,Pred
91,2026,8058.653374545155,Pred
