,X,Y,Class
0,1978,44500.0,True
1,1979,42600.0,True
2,1980,41700.0,True
3,1981,41000.0,True
4,1982,39400.0,True
5,1983,38200.0,True
6,1984,37500.0,True
7,1985,36500.0,True
8,1986,35600.0,True
9,1987,34500.0,True
10,1988,33600.0,True
11,1989,32700.0,True
12,1990,31800.0,True
13,1991,29700.000000000004,True
14,1992,27300.0,True
15,1993,25299.999999999996,True
16,1994,23700.0,True
17,1995,22599.999999999996,True
18,1996,21400.0,True
19,1997,19700.0,True
20,1998,16900.0,True
21,1999,13799.999999999998,True
22,2000,11800.0,True
23,2001,10000.0,True
24,2002,9000.0,True
25,2003,7700.0,True
26,2004,6700.0,True
27,2005,6100.0,True
28,2006,5500.0,True
29,2007,4800.0,True
30,2008,4400.0,True
31,2009,4100.0,True
32,2010,4000.0,True
33,2011,3800.0,True
34,2012,3700.0,True
35,2013,3400.0000000000005,True
36,2014,3300.0,True
37,2015,3300.0,True
38,2016,3300.0,True
39,2017,3300.0,True
40,2018,3300.0,True
41,2019,3300.0,True
42,2020,3300.0,True
43,1978,43762.2999045771,Pred
44,1979,43762.2999045771,Pred
45,1980,41571.532917438875,Pred
46,1981,41148.78732768908,Pred
47,1982,38835.01606634992,Pred
48,1983,38835.01606634992,Pred
49,1984,36654.42901404359,Pred
50,1985,36654.42901404359,Pred
51,1986,36654.42901404359,Pred
52,1987,33538.13186589329,Pred
53,1988,33538.13186589329,Pred
54,1989,33538.13186589329,Pred
55,1990,29494.360742756344,Pred
56,1991,29494.360742756344,Pred
57,1992,29494.360742756344,Pred
58,1993,23800.77230353979,Pred
59,1994,23800.77230353979,Pred
60,1995,23800.77230353979,Pred
61,1996,19154.942309126945,Pred
62,1997,19154.942309126945,Pred
63,1998,19154.942309126945,Pred
64,1999,11744.483386243033,Pred
65,2000,11744.483386243033,Pred
66,2001,11744.483386243033,Pred
67,2002,7643.488765480981,Pred
68,2003,7643.488765480981,Pred
69,2004,7643.488765480981,Pred
70,2005,5500.726675718575,Pred
71,2006,5500.726675718575,Pred
72,2007,5500.726675718575,Pred
73,2008,4217.106364315789,Pred
74,2009,4217.106364315789,Pred
75,2010,4217.106364315789,Pred
76,2011,3652.1751680680186,Pred
77,2012,3652.1751680680186,Pred
78,2013,3652.1751680680186,Pred
79,2014,3330.9278761477503,Pred
80,2015,3330.9278761477503,Pred
81,2016,3330.9278761477503,Pred
82,2017,3330.9278761477503,Pred
83,2018,3330.9278761477503,Pred
84,2019,3330.9278761477503,Pred
85,2020,3330.9278761477503,Pred
86,2021,3330.9278761477503,Pred
87,2022,3330.9278761477503,Pred
88,2023,3330.9278761477503,Pred
89,2024,3330.9278761477503,Pred
90,2025,3330.9278761477503,Pred
91,2026,3330.9278761477503,Pred
