,X,Y,Class
0,1978,91.42,True
1,1979,91.42,True
2,1980,61.4,True
3,1981,80.17,True
4,1982,69.46,True
5,1983,77.11,True
6,1984,52.69,True
7,1985,52.46,True
8,1986,58.1,True
9,1987,60.79,True
10,1988,63.8,True
11,1989,61.59,True
12,1990,63.57,True
13,1991,76.25,True
14,1992,95.64,True
15,1993,106.36,True
16,1994,84.86,True
17,1995,84.31,True
18,1996,83.05,True
19,1997,77.56,True
20,1998,75.28,True
21,1999,72.91,True
22,2000,74.6,True
23,2001,92.1,True
24,2002,98.67,True
25,2003,102.04,True
26,2004,112.47,True
27,2005,115.25,True
28,2006,121.46,True
29,2007,141.95,True
30,2008,156.03,True
31,2009,165.95,True
32,2010,185.59,True
33,2011,193.95,True
34,2012,197.04,True
35,2013,202.93,True
36,2014,209.39,True
37,2015,213.47,True
38,2016,218.7,True
39,2017,226.49,True
40,2018,228.81,True
41,2019,234.52,True
42,2020,247.92,True
43,1978,90.59681429113671,Pred
44,1979,90.59681429113671,Pred
45,1980,62.246101002138516,Pred
46,1981,80.51493973999645,Pred
47,1982,72.5316183740362,Pred
48,1983,72.5316183740362,Pred
49,1984,53.988862731616116,Pred
50,1985,53.988862731616116,Pred
51,1986,53.988862731616116,Pred
52,1987,61.95588357269439,Pred
53,1988,61.95588357269439,Pred
54,1989,61.95588357269439,Pred
55,1990,80.63561456349709,Pred
56,1991,80.63561456349709,Pred
57,1992,80.63561456349709,Pred
58,1993,91.0711296821059,Pred
59,1994,91.0711296821059,Pred
60,1995,91.0711296821059,Pred
61,1996,78.53578056975982,Pred
62,1997,78.53578056975982,Pred
63,1998,78.53578056975982,Pred
64,1999,80.92220058936101,Pred
65,2000,80.92220058936101,Pred
66,2001,80.92220058936101,Pred
67,2002,104.4979544551296,Pred
68,2003,104.4979544551296,Pred
69,2004,104.4979544551296,Pred
70,2005,126.93200111527304,Pred
71,2006,126.93200111527304,Pred
72,2007,126.93200111527304,Pred
73,2008,164.72703725177124,Pred
74,2009,164.72703725177124,Pred
75,2010,164.72703725177124,Pred
76,2011,198.05974324746006,Pred
77,2012,198.05974324746006,Pred
78,2013,198.05974324746006,Pred
79,2014,213.77868316291756,Pred
80,2015,213.77868316291756,Pred
81,2016,213.77868316291756,Pred
82,2017,229.36010685855038,Pred
83,2018,229.36010685855038,Pred
84,2019,229.36010685855038,Pred
85,2020,248.21075420574576,Pred
86,2021,245.05822081760792,Pred
87,2022,245.05822081760792,Pred
88,2023,245.05822081760792,Pred
89,2024,245.05822081760792,Pred
90,2025,245.05822081760792,Pred
91,2026,245.05822081760792,Pred
