,X,Y,Class
0,1978,4.32,True
1,1979,4.32,True
2,1980,2.92,True
3,1981,3.96,True
4,1982,3.47,True
5,1983,3.79,True
6,1984,2.5,True
7,1985,2.47,True
8,1986,2.76,True
9,1987,2.81,True
10,1988,3.03,True
11,1989,3.21,True
12,1990,3.37,True
13,1991,3.71,True
14,1992,4.16,True
15,1993,4.74,True
16,1994,4.1,True
17,1995,4.19,True
18,1996,4.23,True
19,1997,4.22,True
20,1998,4.18,True
21,1999,4.14,True
22,2000,4.5,True
23,2001,5.81,True
24,2002,6.29,True
25,2003,7.18,True
26,2004,8.07,True
27,2005,8.6,True
28,2006,9.29,True
29,2007,11.14,True
30,2008,12.5,True
31,2009,13.9,True
32,2010,15.94,True
33,2011,17.46,True
34,2012,18.86,True
35,2013,20.65,True
36,2014,22.58,True
37,2015,23.84,True
38,2016,25.47,True
39,2017,26.78,True
40,2018,28.42,True
41,2019,30.27,True
42,2020,33.04,True
43,1978,4.307714263962224,Pred
44,1979,4.314893486761656,Pred
45,1980,2.9311320167612207,Pred
46,1981,3.97199354347584,Pred
47,1982,3.4647966019626315,Pred
48,1983,3.7824683141627315,Pred
49,1984,2.490890288579381,Pred
50,1985,2.487665213884222,Pred
51,1986,2.749690471845401,Pred
52,1987,2.8004400615044416,Pred
53,1988,3.049436660919535,Pred
54,1989,3.202152472628918,Pred
55,1990,3.3602251282000033,Pred
56,1991,3.7322877893801807,Pred
57,1992,4.1615361220642315,Pred
58,1993,4.741744677546547,Pred
59,1994,4.122453449306984,Pred
60,1995,4.157756100727058,Pred
61,1996,4.270030125317095,Pred
62,1997,4.196286232554207,Pred
63,1998,4.160382433331536,Pred
64,1999,4.302859190989167,Pred
65,2000,4.302859190989167,Pred
66,2001,5.794501148903658,Pred
67,2002,6.305897386727529,Pred
68,2003,7.172800467585807,Pred
69,2004,8.072067733868817,Pred
70,2005,8.836940915893967,Pred
71,2006,8.836940915893967,Pred
72,2007,11.144822823497407,Pred
73,2008,12.488923844975838,Pred
74,2009,14.3031502312745,Pred
75,2010,14.3031502312745,Pred
76,2011,17.48090318874663,Pred
77,2012,18.886870985334877,Pred
78,2013,20.627079093817844,Pred
79,2014,22.598105381999815,Pred
80,2015,23.848484749009998,Pred
81,2016,25.449784055364493,Pred
82,2017,26.779422271446258,Pred
83,2018,28.432678172999047,Pred
84,2019,30.248553050202176,Pred
85,2020,33.04956953213372,Pred
86,2021,25.40936898699537,Pred
87,2022,25.40936898699537,Pred
88,2023,25.40936898699537,Pred
89,2024,25.40936898699537,Pred
90,2025,25.40936898699537,Pred
91,2026,25.40936898699537,Pred
