,X,Y,Class
0,1978,523.92,True
1,1979,492.17,True
2,1980,501.45,True
3,1981,480.27,True
4,1982,485.01,True
5,1983,490.07,True
6,1984,519.32,True
7,1985,548.56,True
8,1986,558.37,True
9,1987,546.77,True
10,1988,500.86,True
11,1989,482.68,True
12,1990,505.88,True
13,1991,534.61,True
14,1992,573.8,True
15,1993,567.72,True
16,1994,585.28,True
17,1995,646.82,True
18,1996,690.25,True
19,1997,699.12,True
20,1998,695.88,True
21,1999,761.77,True
22,2000,848.81,True
23,2001,906.9,True
24,2002,971.95,True
25,2003,1002.12,True
26,2004,1020.08,True
27,2005,1034.39,True
28,2006,1066.78,True
29,2007,1108.78,True
30,2008,1135.04,True
31,2009,1114.62,True
32,2010,1102.64,True
33,2011,1056.61,True
34,2012,1027.23,True
35,2013,1011.5,True
36,2014,1004.34,True
37,2015,990.2,True
38,2016,990.27,True
39,2017,1007.26,True
40,2018,1021.82,True
41,2019,1032.49,True
42,2020,1031.81,True
43,1978,284.8819580078125,Pred
44,1979,285.08843994140625,Pred
45,1980,285.288818359375,Pred
46,1981,285.54205322265625,Pred
47,1982,285.8193359375,Pred
48,1983,286.10455322265625,Pred
49,1984,286.38287353515625,Pred
50,1985,286.4790344238281,Pred
51,1986,286.567626953125,Pred
52,1987,286.685302734375,Pred
53,1988,286.8879089355469,Pred
54,1989,287.0943908691406,Pred
55,1990,287.29095458984375,Pred
56,1991,287.51275634765625,Pred
57,1992,287.7269287109375,Pred
58,1993,287.941162109375,Pred
59,1994,288.12786865234375,Pred
60,1995,288.4686279296875,Pred
61,1996,288.8825988769531,Pred
62,1997,289.3074645996094,Pred
63,1998,289.730712890625,Pred
64,1999,290.1107177734375,Pred
65,2000,290.42462158203125,Pred
66,2001,290.7396240234375,Pred
67,2002,291.0561828613281,Pred
68,2003,291.3277893066406,Pred
69,2004,291.5192565917969,Pred
70,2005,291.7107238769531,Pred
71,2006,291.9067687988281,Pred
72,2007,292.14581298828125,Pred
73,2008,292.34283447265625,Pred
74,2009,292.5377197265625,Pred
75,2010,292.7372131347656,Pred
76,2011,292.9424743652344,Pred
77,2012,293.1477355957031,Pred
78,2013,293.416259765625,Pred
79,2014,293.680419921875,Pred
80,2015,293.8677062988281,Pred
81,2016,293.9931945800781,Pred
82,2017,294.11492919921875,Pred
83,2018,294.2139587402344,Pred
84,2019,294.2921142578125,Pred
85,2020,294.37030029296875,Pred
86,2021,294.448486328125,Pred
87,2022,294.52667236328125,Pred
88,2023,294.6048278808594,Pred
89,2024,294.7003479003906,Pred
90,2025,294.82843017578125,Pred
91,2026,294.95648193359375,Pred
