,X,Y,Class
0,1978,30.0,True
1,1979,30.0,True
2,1980,33.77,True
3,1981,33.55,True
4,1982,33.19,True
5,1983,33.03,True
6,1984,33.01,True
7,1985,33.82,True
8,1986,33.8,True
9,1987,33.65,True
10,1988,34.02,True
11,1989,34.75,True
12,1990,34.57,True
13,1991,35.11,True
14,1992,37.07,True
15,1993,37.93,True
16,1994,38.37,True
17,1995,41.08,True
18,1996,43.67,True
19,1997,46.26,True
20,1998,48.31,True
21,1999,52.69,True
22,2000,56.19,True
23,2001,61.03,True
24,2002,65.62,True
25,2003,69.68,True
26,2004,73.48,True
27,2005,77.22,True
28,2006,80.6,True
29,2007,83.4,True
30,2008,85.65,True
31,2009,87.38,True
32,2010,89.97,True
33,2011,90.97,True
34,2012,91.72,True
35,2013,92.07,True
36,2014,93.46,True
37,2015,94.24,True
38,2016,95.02,True
39,2017,95.55,True
40,2018,96.57,True
41,2019,97.87,True
42,2020,98.99,True
43,1978,28.79387092590332,Pred
44,1979,32.146244049072266,Pred
45,1980,32.557003021240234,Pred
46,1981,32.79265594482422,Pred
47,1982,32.78493118286133,Pred
48,1983,32.743350982666016,Pred
49,1984,32.74800491333008,Pred
50,1985,32.75361633300781,Pred
51,1986,32.75813674926758,Pred
52,1987,32.7780876159668,Pred
53,1988,32.9376335144043,Pred
54,1989,33.26531219482422,Pred
55,1990,33.59817886352539,Pred
56,1991,34.116634368896484,Pred
57,1992,35.58467102050781,Pred
58,1993,37.22932052612305,Pred
59,1994,39.22393798828125,Pred
60,1995,41.893585205078125,Pred
61,1996,44.68889617919922,Pred
62,1997,47.48456954956055,Pred
63,1998,50.2802619934082,Pred
64,1999,53.07594299316406,Pred
65,2000,55.87162780761719,Pred
66,2001,58.667301177978516,Pred
67,2002,61.46299362182617,Pred
68,2003,64.2586898803711,Pred
69,2004,67.05342102050781,Pred
70,2005,69.83222198486328,Pred
71,2006,72.54442596435547,Pred
72,2007,75.03446960449219,Pred
73,2008,77.27037811279297,Pred
74,2009,79.50000762939453,Pred
75,2010,81.72962951660156,Pred
76,2011,83.95925903320312,Pred
77,2012,86.18887329101562,Pred
78,2013,88.41851043701172,Pred
79,2014,90.64813995361328,Pred
80,2015,92.87773895263672,Pred
81,2016,95.10738372802734,Pred
82,2017,97.33699798583984,Pred
83,2018,99.5666275024414,Pred
84,2019,101.79625701904297,Pred
85,2020,104.02591705322266,Pred
86,2021,106.25603485107422,Pred
87,2022,108.48612213134766,Pred
88,2023,110.71624755859375,Pred
89,2024,112.94762420654297,Pred
90,2025,115.18074798583984,Pred
91,2026,117.41388702392578,Pred
