,X,Y,Class
0,1978,4097.0,True
1,1979,3680.0,True
2,1980,3391.0,True
3,1981,3243.0,True
4,1982,3115.0,True
5,1983,3161.0,True
6,1984,3199.0,True
7,1985,3235.0,True
8,1986,3296.0,True
9,1987,3346.0,True
10,1988,3389.0,True
11,1989,3384.0,True
12,1990,3353.0,True
13,1991,3381.0,True
14,1992,3283.0,True
15,1993,3259.0,True
16,1994,3315.0,True
17,1995,3255.0,True
18,1996,3240.0,True
19,1997,3186.0,True
20,1998,3128.0,True
21,1999,2995.0,True
22,2000,2940.0,True
23,2001,2900.0,True
24,2002,2781.0,True
25,2003,2695.0,True
26,2004,2609.0,True
27,2005,2524.0,True
28,2006,2459.0,True
29,2007,2404.0,True
30,2008,2377.0,True
31,2009,2353.0,True
32,2010,2314.0,True
33,2011,2314.0,True
34,2012,2306.0,True
35,2013,2296.0,True
36,2014,2280.0,True
37,2015,2275.0,True
38,2016,2291.0,True
39,2017,2315.0,True
40,2018,2333.0,True
41,2019,2345.0,True
42,2020,2370.0,True
43,1978,3902.259033203125,Pred
44,1979,3656.39501953125,Pred
45,1980,3441.44970703125,Pred
46,1981,3361.972900390625,Pred
47,1982,3360.26953125,Pred
48,1983,3354.8515625,Pred
49,1984,3351.08642578125,Pred
50,1985,3347.3212890625,Pred
51,1986,3343.55615234375,Pred
52,1987,3339.79150390625,Pred
53,1988,3336.02587890625,Pred
54,1989,3332.260986328125,Pred
55,1990,3328.495849609375,Pred
56,1991,3324.73095703125,Pred
57,1992,3319.268310546875,Pred
58,1993,3310.2783203125,Pred
59,1994,3292.787109375,Pred
60,1995,3253.4404296875,Pred
61,1996,3201.27001953125,Pred
62,1997,3145.892333984375,Pred
63,1998,3090.207763671875,Pred
64,1999,3034.06689453125,Pred
65,2000,2977.70947265625,Pred
66,2001,2921.35205078125,Pred
67,2002,2864.99462890625,Pred
68,2003,2808.67626953125,Pred
69,2004,2752.439697265625,Pred
70,2005,2696.2041015625,Pred
71,2006,2639.974365234375,Pred
72,2007,2583.717529296875,Pred
73,2008,2527.40380859375,Pred
74,2009,2471.084228515625,Pred
75,2010,2415.73486328125,Pred
76,2011,2374.203857421875,Pred
77,2012,2353.09326171875,Pred
78,2013,2339.619140625,Pred
79,2014,2340.44873046875,Pred
80,2015,2343.805908203125,Pred
81,2016,2347.173828125,Pred
82,2017,2350.550537109375,Pred
83,2018,2353.92822265625,Pred
84,2019,2357.305419921875,Pred
85,2020,2360.682373046875,Pred
86,2021,2364.0595703125,Pred
87,2022,2367.4365234375,Pred
88,2023,2371.24462890625,Pred
89,2024,2375.07568359375,Pred
90,2025,2378.901611328125,Pred
91,2026,2382.73095703125,Pred
