,X,Y,Class
0,1978,112.68,True
1,1979,114.27,True
2,1980,115.69,True
3,1981,112.15,True
4,1982,109.29,True
5,1983,106.6,True
6,1984,105.46,True
7,1985,105.45,True
8,1986,106.21,True
9,1987,105.84,True
10,1988,108.94,True
11,1989,114.9,True
12,1990,117.12,True
13,1991,122.1,True
14,1992,130.11,True
15,1993,141.99,True
16,1994,154.49,True
17,1995,160.61,True
18,1996,170.0,True
19,1997,187.09,True
20,1998,216.11,True
21,1999,263.27,True
22,2000,299.8,True
23,2001,346.28,True
24,2002,381.94,True
25,2003,441.94,True
26,2004,513.9,True
27,2005,561.31,True
28,2006,617.15,True
29,2007,698.88,True
30,2008,755.18,True
31,2009,793.02,True
32,2010,833.33,True
33,2011,905.42,True
34,2012,937.11,True
35,2013,1028.18,True
36,2014,1074.24,True
37,2015,1081.79,True
38,2016,1075.82,True
39,2017,1072.76,True
40,2018,1092.64,True
41,2019,1112.45,True
42,2020,1129.48,True
43,1978,101.03750610351562,Pred
44,1979,103.06646728515625,Pred
45,1980,105.65182495117188,Pred
46,1981,107.72777557373047,Pred
47,1982,108.89537048339844,Pred
48,1983,109.26754760742188,Pred
49,1984,109.32982635498047,Pred
50,1985,108.53126525878906,Pred
51,1986,107.99528503417969,Pred
52,1987,109.1733169555664,Pred
53,1988,111.20967864990234,Pred
54,1989,115.38890838623047,Pred
55,1990,120.51382446289062,Pred
56,1991,126.11447143554688,Pred
57,1992,133.04180908203125,Pred
58,1993,140.73912048339844,Pred
59,1994,148.87945556640625,Pred
60,1995,157.143798828125,Pred
61,1996,168.86962890625,Pred
62,1997,184.35247802734375,Pred
63,1998,205.94216918945312,Pred
64,1999,237.58200073242188,Pred
65,2000,278.5879821777344,Pred
66,2001,323.1186218261719,Pred
67,2002,369.63641357421875,Pred
68,2003,423.7515563964844,Pred
69,2004,479.32843017578125,Pred
70,2005,535.3218994140625,Pred
71,2006,591.31201171875,Pred
72,2007,647.2997436523438,Pred
73,2008,703.2848510742188,Pred
74,2009,759.26171875,Pred
75,2010,815.255859375,Pred
76,2011,870.953857421875,Pred
77,2012,914.2623291015625,Pred
78,2013,956.3092041015625,Pred
79,2014,986.7003173828125,Pred
80,2015,1016.905517578125,Pred
81,2016,1047.110595703125,Pred
82,2017,1077.316162109375,Pred
83,2018,1107.52099609375,Pred
84,2019,1137.7264404296875,Pred
85,2020,1167.931640625,Pred
86,2021,1198.136962890625,Pred
87,2022,1228.3426513671875,Pred
88,2023,1258.5498046875,Pred
89,2024,1288.7664794921875,Pred
90,2025,1319.326416015625,Pred
91,2026,1349.8900146484375,Pred
