,X,Y,Class
0,1978,4.06,True
1,1979,4.31,True
2,1980,4.42,True
3,1981,4.31,True
4,1982,4.34,True
5,1983,4.3,True
6,1984,4.29,True
7,1985,4.41,True
8,1986,4.45,True
9,1987,4.51,True
10,1988,4.7,True
11,1989,4.93,True
12,1990,4.68,True
13,1991,5.04,True
14,1992,5.53,True
15,1993,6.02,True
16,1994,6.52,True
17,1995,7.01,True
18,1996,7.62,True
19,1997,8.55,True
20,1998,10.16,True
21,1999,12.7,True
22,2000,14.89,True
23,2001,17.64,True
24,2002,19.61,True
25,2003,22.78,True
26,2004,26.28,True
27,2005,29.16,True
28,2006,32.69,True
29,2007,37.75,True
30,2008,41.55,True
31,2009,45.0,True
32,2010,46.53,True
33,2011,48.76,True
34,2012,51.43,True
35,2013,57.18,True
36,2014,61.18,True
37,2015,62.12,True
38,2016,63.39,True
39,2017,64.64,True
40,2018,66.27,True
41,2019,67.97,True
42,2020,69.64,True
43,1978,0.9477815628051758,Pred
44,1979,0.9522943496704102,Pred
45,1980,0.9561679363250732,Pred
46,1981,0.9597746133804321,Pred
47,1982,0.9618074893951416,Pred
48,1983,0.9635661840438843,Pred
49,1984,0.970124363899231,Pred
50,1985,1.0276192426681519,Pred
51,1986,1.3795849084854126,Pred
52,1987,1.8917783498764038,Pred
53,1988,2.491135835647583,Pred
54,1989,3.2421932220458984,Pred
55,1990,4.037849426269531,Pred
56,1991,4.843165874481201,Pred
57,1992,5.6480207443237305,Pred
58,1993,6.4564900398254395,Pred
59,1994,7.274273872375488,Pred
60,1995,8.113795280456543,Pred
61,1996,8.965338706970215,Pred
62,1997,10.014425277709961,Pred
63,1998,12.71927547454834,Pred
64,1999,15.702164649963379,Pred
65,2000,18.690959930419922,Pred
66,2001,21.68108558654785,Pred
67,2002,24.665973663330078,Pred
68,2003,27.650575637817383,Pred
69,2004,30.635169982910156,Pred
70,2005,33.619773864746094,Pred
71,2006,36.6043701171875,Pred
72,2007,39.588340759277344,Pred
73,2008,42.57209777832031,Pred
74,2009,45.54652404785156,Pred
75,2010,48.43340301513672,Pred
76,2011,51.1882209777832,Pred
77,2012,53.9398307800293,Pred
78,2013,56.68978500366211,Pred
79,2014,59.43940734863281,Pred
80,2015,62.18900680541992,Pred
81,2016,64.93859100341797,Pred
82,2017,67.68817138671875,Pred
83,2018,70.43775939941406,Pred
84,2019,73.18734741210938,Pred
85,2020,75.93693542480469,Pred
86,2021,78.68650817871094,Pred
87,2022,81.43611907958984,Pred
88,2023,84.18569946289062,Pred
89,2024,86.93535614013672,Pred
90,2025,89.68516540527344,Pred
91,2026,92.43498229980469,Pred
