,X,Y,Class
0,1978,44500.0,True
1,1979,42600.0,True
2,1980,41700.0,True
3,1981,41000.0,True
4,1982,39400.0,True
5,1983,38200.0,True
6,1984,37500.0,True
7,1985,36500.0,True
8,1986,35600.0,True
9,1987,34500.0,True
10,1988,33600.0,True
11,1989,32700.0,True
12,1990,31800.0,True
13,1991,29700.000000000004,True
14,1992,27300.0,True
15,1993,25299.999999999996,True
16,1994,23700.0,True
17,1995,22599.999999999996,True
18,1996,21400.0,True
19,1997,19700.0,True
20,1998,16900.0,True
21,1999,13799.999999999998,True
22,2000,11800.0,True
23,2001,10000.0,True
24,2002,9000.0,True
25,2003,7700.0,True
26,2004,6700.0,True
27,2005,6100.0,True
28,2006,5500.0,True
29,2007,4800.0,True
30,2008,4400.0,True
31,2009,4100.0,True
32,2010,4000.0,True
33,2011,3800.0,True
34,2012,3700.0,True
35,2013,3400.0000000000005,True
36,2014,3300.0,True
37,2015,3300.0,True
38,2016,3300.0,True
39,2017,3300.0,True
40,2018,3300.0,True
41,2019,3300.0,True
42,2020,3300.0,True
43,1978,42851.5,Pred
44,1979,43273.24609375,Pred
45,1980,42658.84375,Pred
46,1981,41815.23828125,Pred
47,1982,40596.57421875,Pred
48,1983,39374.2734375,Pred
49,1984,38151.015625,Pred
50,1985,36927.76171875,Pred
51,1986,35704.49609375,Pred
52,1987,34479.03515625,Pred
53,1988,33210.59375,Pred
54,1989,31942.154296875,Pred
55,1990,30638.376953125,Pred
56,1991,28945.515625,Pred
57,1992,27240.099609375,Pred
58,1993,25530.421875,Pred
59,1994,23819.318359375,Pred
60,1995,22108.748046875,Pred
61,1996,20397.923828125,Pred
62,1997,18687.103515625,Pred
63,1998,16974.6484375,Pred
64,1999,15257.962890625,Pred
65,2000,13541.7080078125,Pred
66,2001,11828.3994140625,Pred
67,2002,10114.0478515625,Pred
68,2003,8440.494140625,Pred
69,2004,7071.419921875,Pred
70,2005,6271.32080078125,Pred
71,2006,5506.07958984375,Pred
72,2007,4892.67919921875,Pred
73,2008,4512.90478515625,Pred
74,2009,4258.22021484375,Pred
75,2010,4047.81005859375,Pred
76,2011,3840.61181640625,Pred
77,2012,3640.147216796875,Pred
78,2013,3458.04833984375,Pred
79,2014,3404.1259765625,Pred
80,2015,3351.56689453125,Pred
81,2016,3299.007568359375,Pred
82,2017,3246.44873046875,Pred
83,2018,3193.8896484375,Pred
84,2019,3141.330810546875,Pred
85,2020,3088.771240234375,Pred
86,2021,3036.212890625,Pred
87,2022,2983.754150390625,Pred
88,2023,2931.350341796875,Pred
89,2024,2878.94580078125,Pred
90,2025,2826.5419921875,Pred
91,2026,2774.138427734375,Pred
