,X,Y,Class
0,1978,91.42,True
1,1979,91.42,True
2,1980,61.4,True
3,1981,80.17,True
4,1982,69.46,True
5,1983,77.11,True
6,1984,52.69,True
7,1985,52.46,True
8,1986,58.1,True
9,1987,60.79,True
10,1988,63.8,True
11,1989,61.59,True
12,1990,63.57,True
13,1991,76.25,True
14,1992,95.64,True
15,1993,106.36,True
16,1994,84.86,True
17,1995,84.31,True
18,1996,83.05,True
19,1997,77.56,True
20,1998,75.28,True
21,1999,72.91,True
22,2000,74.6,True
23,2001,92.1,True
24,2002,98.67,True
25,2003,102.04,True
26,2004,112.47,True
27,2005,115.25,True
28,2006,121.46,True
29,2007,141.95,True
30,2008,156.03,True
31,2009,165.95,True
32,2010,185.59,True
33,2011,193.95,True
34,2012,197.04,True
35,2013,202.93,True
36,2014,209.39,True
37,2015,213.47,True
38,2016,218.7,True
39,2017,226.49,True
40,2018,228.81,True
41,2019,234.52,True
42,2020,247.92,True
43,1978,90.13521575927734,Pred
44,1979,90.4855728149414,Pred
45,1980,75.62483215332031,Pred
46,1981,71.15045166015625,Pred
47,1982,70.4072494506836,Pred
48,1983,69.235107421875,Pred
49,1984,61.55880355834961,Pred
50,1985,63.25899124145508,Pred
51,1986,65.21337890625,Pred
52,1987,67.18505096435547,Pred
53,1988,69.10928344726562,Pred
54,1989,70.94745635986328,Pred
55,1990,72.78355407714844,Pred
56,1991,74.61823272705078,Pred
57,1992,76.4354019165039,Pred
58,1993,78.24446868896484,Pred
59,1994,80.05352783203125,Pred
60,1995,81.86258697509766,Pred
61,1996,83.6716537475586,Pred
62,1997,85.48072052001953,Pred
63,1998,87.28976440429688,Pred
64,1999,89.09879302978516,Pred
65,2000,90.90787506103516,Pred
66,2001,98.41908264160156,Pred
67,2002,107.1034164428711,Pred
68,2003,115.78778076171875,Pred
69,2004,124.47215270996094,Pred
70,2005,133.156494140625,Pred
71,2006,141.8408203125,Pred
72,2007,150.52520751953125,Pred
73,2008,159.20956420898438,Pred
74,2009,167.81956481933594,Pred
75,2010,176.17132568359375,Pred
76,2011,184.5180206298828,Pred
77,2012,192.85476684570312,Pred
78,2013,201.174560546875,Pred
79,2014,209.49435424804688,Pred
80,2015,217.814208984375,Pred
81,2016,226.13397216796875,Pred
82,2017,234.4537811279297,Pred
83,2018,242.77359008789062,Pred
84,2019,251.09339904785156,Pred
85,2020,259.4132080078125,Pred
86,2021,267.8372802734375,Pred
87,2022,276.2854919433594,Pred
88,2023,284.73370361328125,Pred
89,2024,293.181884765625,Pred
90,2025,301.6300964355469,Pred
91,2026,310.0782470703125,Pred
