,X,Y,Class
0,1978,4.32,True
1,1979,4.32,True
2,1980,2.92,True
3,1981,3.96,True
4,1982,3.47,True
5,1983,3.79,True
6,1984,2.5,True
7,1985,2.47,True
8,1986,2.76,True
9,1987,2.81,True
10,1988,3.03,True
11,1989,3.21,True
12,1990,3.37,True
13,1991,3.71,True
14,1992,4.16,True
15,1993,4.74,True
16,1994,4.1,True
17,1995,4.19,True
18,1996,4.23,True
19,1997,4.22,True
20,1998,4.18,True
21,1999,4.14,True
22,2000,4.5,True
23,2001,5.81,True
24,2002,6.29,True
25,2003,7.18,True
26,2004,8.07,True
27,2005,8.6,True
28,2006,9.29,True
29,2007,11.14,True
30,2008,12.5,True
31,2009,13.9,True
32,2010,15.94,True
33,2011,17.46,True
34,2012,18.86,True
35,2013,20.65,True
36,2014,22.58,True
37,2015,23.84,True
38,2016,25.47,True
39,2017,26.78,True
40,2018,28.42,True
41,2019,30.27,True
42,2020,33.04,True
43,1978,0.8706912994384766,Pred
44,1979,0.8921367526054382,Pred
45,1980,0.9092286229133606,Pred
46,1981,0.9260993599891663,Pred
47,1982,0.9488919377326965,Pred
48,1983,0.9854967594146729,Pred
49,1984,1.03944993019104,Pred
50,1985,1.1233245134353638,Pred
51,1986,1.2392374277114868,Pred
52,1987,1.4418996572494507,Pred
53,1988,1.7357177734375,Pred
54,1989,2.0927553176879883,Pred
55,1990,2.4577770233154297,Pred
56,1991,2.844985008239746,Pred
57,1992,3.2339370250701904,Pred
58,1993,3.6246137619018555,Pred
59,1994,4.016595840454102,Pred
60,1995,4.408962249755859,Pred
61,1996,4.807353496551514,Pred
62,1997,5.206967353820801,Pred
63,1998,5.741626739501953,Pred
64,1999,6.770812034606934,Pred
65,2000,7.915154933929443,Pred
66,2001,9.072042465209961,Pred
67,2002,10.234331130981445,Pred
68,2003,11.397110939025879,Pred
69,2004,12.559041023254395,Pred
70,2005,13.717902183532715,Pred
71,2006,14.867691040039062,Pred
72,2007,16.011844635009766,Pred
73,2008,17.15386390686035,Pred
74,2009,18.295869827270508,Pred
75,2010,19.437885284423828,Pred
76,2011,20.579622268676758,Pred
77,2012,21.721120834350586,Pred
78,2013,22.86233901977539,Pred
79,2014,24.004127502441406,Pred
80,2015,25.147729873657227,Pred
81,2016,26.29250144958496,Pred
82,2017,27.438936233520508,Pred
83,2018,28.585371017456055,Pred
84,2019,29.731813430786133,Pred
85,2020,30.877851486206055,Pred
86,2021,32.01885223388672,Pred
87,2022,33.157875061035156,Pred
88,2023,34.2968864440918,Pred
89,2024,35.43584060668945,Pred
90,2025,36.57432174682617,Pred
91,2026,37.712791442871094,Pred
