,X,Y,Class
0,1978,3100.0,True
1,1979,3100.0,True
2,1980,7067.0,True
3,1981,5235.0,True
4,1982,6409.0,True
5,1983,6120.0,True
6,1984,11511.0,True
7,1985,12468.0,True
8,1986,12375.0,True
9,1987,13366.0,True
10,1988,12590.0,True
11,1989,12153.0,True
12,1990,11824.0,True
13,1991,11242.0,True
14,1992,9860.0,True
15,1993,9179.0,True
16,1994,11705.0,True
17,1995,11794.0,True
18,1996,11915.0,True
19,1997,12920.0,True
20,1998,14068.0,True
21,1999,14864.0,True
22,2000,15073.0,True
23,2001,12501.0,True
24,2002,11920.0,True
25,2003,11560.0,True
26,2004,11367.0,True
27,2005,11472.0,True
28,2006,11437.0,True
29,2007,10411.0,True
30,2008,10212.0,True
31,2009,10067.0,True
32,2010,9863.0,True
33,2011,9649.0,True
34,2012,9573.0,True
35,2013,9209.0,True
36,2014,8871.0,True
37,2015,8908.0,True
38,2016,8771.0,True
39,2017,8645.0,True
40,2018,8453.0,True
41,2019,8261.0,True
42,2020,8009.0,True
43,1978,3551.2490234375,Pred
44,1979,3711.4775390625,Pred
45,1980,4881.7919921875,Pred
46,1981,5938.3212890625,Pred
47,1982,7045.42333984375,Pred
48,1983,8531.66015625,Pred
49,1984,10078.1181640625,Pred
50,1985,11609.857421875,Pred
51,1986,12102.4921875,Pred
52,1987,12202.435546875,Pred
53,1988,12169.830078125,Pred
54,1989,12137.2255859375,Pred
55,1990,12104.62109375,Pred
56,1991,12073.1826171875,Pred
57,1992,12044.2587890625,Pred
58,1993,12015.416015625,Pred
59,1994,11986.576171875,Pred
60,1995,11957.7294921875,Pred
61,1996,11928.8896484375,Pred
62,1997,11900.046875,Pred
63,1998,11871.203125,Pred
64,1999,11829.4736328125,Pred
65,2000,11606.2919921875,Pred
66,2001,11377.89453125,Pred
67,2002,11148.9658203125,Pred
68,2003,10920.0419921875,Pred
69,2004,10691.115234375,Pred
70,2005,10462.1220703125,Pred
71,2006,10233.0615234375,Pred
72,2007,10004.021484375,Pred
73,2008,9776.1142578125,Pred
74,2009,9546.177734375,Pred
75,2010,9315.84765625,Pred
76,2011,9086.0810546875,Pred
77,2012,8864.7734375,Pred
78,2013,8646.1162109375,Pred
79,2014,8466.9892578125,Pred
80,2015,8386.6943359375,Pred
81,2016,8327.34765625,Pred
82,2017,8269.73828125,Pred
83,2018,8212.4130859375,Pred
84,2019,8154.70263671875,Pred
85,2020,8097.6240234375,Pred
86,2021,8072.244140625,Pred
87,2022,8051.38720703125,Pred
88,2023,8030.5283203125,Pred
89,2024,8009.65576171875,Pred
90,2025,7988.68115234375,Pred
91,2026,7967.7080078125,Pred
