,X,Y,Class
0,1978,523.92,True
1,1979,492.17,True
2,1980,501.45,True
3,1981,480.27,True
4,1982,485.01,True
5,1983,490.07,True
6,1984,519.32,True
7,1985,548.56,True
8,1986,558.37,True
9,1987,546.77,True
10,1988,500.86,True
11,1989,482.68,True
12,1990,505.88,True
13,1991,534.61,True
14,1992,573.8,True
15,1993,567.72,True
16,1994,585.28,True
17,1995,646.82,True
18,1996,690.25,True
19,1997,699.12,True
20,1998,695.88,True
21,1999,761.77,True
22,2000,848.81,True
23,2001,906.9,True
24,2002,971.95,True
25,2003,1002.12,True
26,2004,1020.08,True
27,2005,1034.39,True
28,2006,1066.78,True
29,2007,1108.78,True
30,2008,1135.04,True
31,2009,1114.62,True
32,2010,1102.64,True
33,2011,1056.61,True
34,2012,1027.23,True
35,2013,1011.5,True
36,2014,1004.34,True
37,2015,990.2,True
38,2016,990.27,True
39,2017,1007.26,True
40,2018,1021.82,True
41,2019,1032.49,True
42,2020,1031.81,True
43,1978,554.6784940361977,Pred
44,1979,526.4074976444244,Pred
45,1980,504.18575382232666,Pred
46,1981,487.69643145799637,Pred
47,1982,476.62270045280457,Pred
48,1983,470.64772951602936,Pred
49,1984,469.45468854904175,Pred
50,1985,472.7267468571663,Pred
51,1986,480.1470734477043,Pred
52,1987,491.3988382220268,Pred
53,1988,506.1652100086212,Pred
54,1989,524.1293586492538,Pred
55,1990,544.9744529724121,Pred
56,1991,568.383662879467,Pred
57,1992,594.0401573777199,Pred
58,1993,621.6271060109138,Pred
59,1994,650.8276782035828,Pred
60,1995,681.3250429034233,Pred
61,1996,712.8023701310158,Pred
62,1997,744.9428286552429,Pred
63,1998,777.4295881390572,Pred
64,1999,809.9458180069923,Pred
65,2000,842.1746875047684,Pred
66,2001,873.7993659377098,Pred
67,2002,904.5030226111412,Pred
68,2003,933.968827188015,Pred
69,2004,961.8799487352371,Pred
70,2005,987.9195568561554,Pred
71,2006,1011.7708207368851,Pred
72,2007,1033.1169099211693,Pred
73,2008,1051.640993475914,Pred
74,2009,1067.0262409448624,Pred
75,2010,1078.9558219313622,Pred
76,2011,1087.1129052639008,Pred
77,2012,1091.1806608438492,Pred
78,2013,1090.8422577381134,Pred
79,2014,1085.7808653712273,Pred
80,2015,1075.67965310812,Pred
81,2016,1060.221790254116,Pred
82,2017,1039.090446472168,Pred
83,2018,1011.9687906503677,Pred
84,2019,978.5399924516678,Pred
85,2020,938.487221121788,Pred
86,2021,891.4936462640762,Pred
87,2022,837.2424369454384,Pred
88,2023,775.4167625904083,Pred
89,2024,705.6997929215431,Pred
90,2025,627.7746965885162,Pred
91,2026,541.3246436715126,Pred
