,X,Y,Class
0,1978,30.0,True
1,1979,30.0,True
2,1980,33.77,True
3,1981,33.55,True
4,1982,33.19,True
5,1983,33.03,True
6,1984,33.01,True
7,1985,33.82,True
8,1986,33.8,True
9,1987,33.65,True
10,1988,34.02,True
11,1989,34.75,True
12,1990,34.57,True
13,1991,35.11,True
14,1992,37.07,True
15,1993,37.93,True
16,1994,38.37,True
17,1995,41.08,True
18,1996,43.67,True
19,1997,46.26,True
20,1998,48.31,True
21,1999,52.69,True
22,2000,56.19,True
23,2001,61.03,True
24,2002,65.62,True
25,2003,69.68,True
26,2004,73.48,True
27,2005,77.22,True
28,2006,80.6,True
29,2007,83.4,True
30,2008,85.65,True
31,2009,87.38,True
32,2010,89.97,True
33,2011,90.97,True
34,2012,91.72,True
35,2013,92.07,True
36,2014,93.46,True
37,2015,94.24,True
38,2016,95.02,True
39,2017,95.55,True
40,2018,96.57,True
41,2019,97.87,True
42,2020,98.99,True
43,1978,37.22786649316549,Pred
44,1979,34.84524643421173,Pred
45,1980,32.92034737765789,Pred
46,1981,31.432833082973957,Pred
47,1982,30.362367283552885,Pred
48,1983,29.68861374631524,Pred
49,1984,29.391236178576946,Pred
50,1985,29.449898350983858,Pred
51,1986,29.84426400437951,Pred
52,1987,30.553996868431568,Pred
53,1988,31.558760702610016,Pred
54,1989,32.83821924030781,Pred
55,1990,34.37203623354435,Pred
56,1991,36.139875419437885,Pred
57,1992,38.12140055000782,Pred
58,1993,40.2962753623724,Pred
59,1994,42.644163608551025,Pred
60,1995,45.144729021936655,Pred
61,1996,47.7776353508234,Pred
62,1997,50.52254634350538,Pred
63,1998,53.35912573337555,Pred
64,1999,56.26703727990389,Pred
65,2000,59.225944709032774,Pred
66,2001,62.2155117765069,Pred
67,2002,65.2154022268951,Pred
68,2003,68.2052797973156,Pred
69,2004,71.1648082472384,Pred
70,2005,74.07365129143,Pred
71,2006,76.91147270053625,Pred
72,2007,79.65793621912599,Pred
73,2008,82.292705565691,Pred
74,2009,84.79544450342655,Pred
75,2010,87.1458167731762,Pred
76,2011,89.32348611578345,Pred
77,2012,91.30811627954245,Pred
78,2013,93.079371009022,Pred
79,2014,94.61691404506564,Pred
80,2015,95.9004091359675,Pred
81,2016,96.90952002257109,Pred
82,2017,97.62391043826938,Pred
83,2018,98.02324414998293,Pred
84,2019,98.08718487992883,Pred
85,2020,97.79539638757706,Pred
86,2021,97.12754239886999,Pred
87,2022,96.0632866770029,Pred
88,2023,94.58229295536876,Pred
89,2024,92.66422498598695,Pred
90,2025,90.28874650225043,Pred
91,2026,87.4355212636292,Pred
