,X,Y,Class
0,1978,4097.0,True
1,1979,3680.0,True
2,1980,3391.0,True
3,1981,3243.0,True
4,1982,3115.0,True
5,1983,3161.0,True
6,1984,3199.0,True
7,1985,3235.0,True
8,1986,3296.0,True
9,1987,3346.0,True
10,1988,3389.0,True
11,1989,3384.0,True
12,1990,3353.0,True
13,1991,3381.0,True
14,1992,3283.0,True
15,1993,3259.0,True
16,1994,3315.0,True
17,1995,3255.0,True
18,1996,3240.0,True
19,1997,3186.0,True
20,1998,3128.0,True
21,1999,2995.0,True
22,2000,2940.0,True
23,2001,2900.0,True
24,2002,2781.0,True
25,2003,2695.0,True
26,2004,2609.0,True
27,2005,2524.0,True
28,2006,2459.0,True
29,2007,2404.0,True
30,2008,2377.0,True
31,2009,2353.0,True
32,2010,2314.0,True
33,2011,2314.0,True
34,2012,2306.0,True
35,2013,2296.0,True
36,2014,2280.0,True
37,2015,2275.0,True
38,2016,2291.0,True
39,2017,2315.0,True
40,2018,2333.0,True
41,2019,2345.0,True
42,2020,2370.0,True
43,1978,4050.5625,Pred
44,1979,3679.953125,Pred
45,1980,3430.328125,Pred
46,1981,3275.4375,Pred
47,1982,3192.734375,Pred
48,1983,3162.75,Pred
49,1984,3169.265625,Pred
50,1985,3198.890625,Pred
51,1986,3240.65625,Pred
52,1987,3285.875,Pred
53,1988,3327.78125,Pred
54,1989,3361.5,Pred
55,1990,3383.671875,Pred
56,1991,3391.96875,Pred
57,1992,3385.625,Pred
58,1993,3364.5625,Pred
59,1994,3329.375,Pred
60,1995,3281.5,Pred
61,1996,3222.4375,Pred
62,1997,3154.4375,Pred
63,1998,3079.578125,Pred
64,1999,3000.09375,Pred
65,2000,2918.46875,Pred
66,2001,2836.671875,Pred
67,2002,2756.703125,Pred
68,2003,2680.328125,Pred
69,2004,2608.984375,Pred
70,2005,2543.859375,Pred
71,2006,2485.6875,Pred
72,2007,2435.140625,Pred
73,2008,2392.1875,Pred
74,2009,2357.078125,Pred
75,2010,2329.234375,Pred
76,2011,2308.390625,Pred
77,2012,2293.828125,Pred
78,2013,2285.0625,Pred
79,2014,2281.53125,Pred
80,2015,2282.84375,Pred
81,2016,2289.109375,Pred
82,2017,2300.828125,Pred
83,2018,2319.078125,Pred
84,2019,2345.8125,Pred
85,2020,2384.0625,Pred
86,2021,2437.765625,Pred
87,2022,2512.609375,Pred
88,2023,2615.984375,Pred
89,2024,2756.90625,Pred
90,2025,2946.90625,Pred
91,2026,3199.921875,Pred
