,X,Y,Class
0,1978,112.68,True
1,1979,114.27,True
2,1980,115.69,True
3,1981,112.15,True
4,1982,109.29,True
5,1983,106.6,True
6,1984,105.46,True
7,1985,105.45,True
8,1986,106.21,True
9,1987,105.84,True
10,1988,108.94,True
11,1989,114.9,True
12,1990,117.12,True
13,1991,122.1,True
14,1992,130.11,True
15,1993,141.99,True
16,1994,154.49,True
17,1995,160.61,True
18,1996,170.0,True
19,1997,187.09,True
20,1998,216.11,True
21,1999,263.27,True
22,2000,299.8,True
23,2001,346.28,True
24,2002,381.94,True
25,2003,441.94,True
26,2004,513.9,True
27,2005,561.31,True
28,2006,617.15,True
29,2007,698.88,True
30,2008,755.18,True
31,2009,793.02,True
32,2010,833.33,True
33,2011,905.42,True
34,2012,937.11,True
35,2013,1028.18,True
36,2014,1074.24,True
37,2015,1081.79,True
38,2016,1075.82,True
39,2017,1072.76,True
40,2018,1092.64,True
41,2019,1112.45,True
42,2020,1129.48,True
43,1978,124.30029296875,Pred
44,1979,110.80712890625,Pred
45,1980,104.7578125,Pred
46,1981,103.45068359375,Pred
47,1982,104.8193359375,Pred
48,1983,107.3505859375,Pred
49,1984,110.0244140625,Pred
50,1985,112.234375,Pred
51,1986,113.72314453125,Pred
52,1987,114.533203125,Pred
53,1988,114.93701171875,Pred
54,1989,115.384765625,Pred
55,1990,116.45751953125,Pred
56,1991,118.81884765625,Pred
57,1992,123.1689453125,Pred
58,1993,130.21826171875,Pred
59,1994,140.6298828125,Pred
60,1995,155.005859375,Pred
61,1996,173.8603515625,Pred
62,1997,197.5869140625,Pred
63,1998,226.44873046875,Pred
64,1999,260.55712890625,Pred
65,2000,299.8671875,Pred
66,2001,344.17626953125,Pred
67,2002,393.10546875,Pred
68,2003,446.13134765625,Pred
69,2004,502.56005859375,Pred
70,2005,561.57763671875,Pred
71,2006,622.23193359375,Pred
72,2007,683.48388671875,Pred
73,2008,744.220703125,Pred
74,2009,803.28857421875,Pred
75,2010,859.53466796875,Pred
76,2011,911.85009765625,Pred
77,2012,959.2177734375,Pred
78,2013,1000.7646484375,Pred
79,2014,1035.81982421875,Pred
80,2015,1063.98193359375,Pred
81,2016,1085.1875,Pred
82,2017,1099.78759765625,Pred
83,2018,1108.626953125,Pred
84,2019,1113.134765625,Pred
85,2020,1115.4150390625,Pred
86,2021,1118.349609375,Pred
87,2022,1125.693359375,Pred
88,2023,1142.2021484375,Pred
89,2024,1173.7353515625,Pred
90,2025,1227.3857421875,Pred
91,2026,1311.607421875,Pred
