,X,Y,Class
0,1978,4.06,True
1,1979,4.31,True
2,1980,4.42,True
3,1981,4.31,True
4,1982,4.34,True
5,1983,4.3,True
6,1984,4.29,True
7,1985,4.41,True
8,1986,4.45,True
9,1987,4.51,True
10,1988,4.7,True
11,1989,4.93,True
12,1990,4.68,True
13,1991,5.04,True
14,1992,5.53,True
15,1993,6.02,True
16,1994,6.52,True
17,1995,7.01,True
18,1996,7.62,True
19,1997,8.55,True
20,1998,10.16,True
21,1999,12.7,True
22,2000,14.89,True
23,2001,17.64,True
24,2002,19.61,True
25,2003,22.78,True
26,2004,26.28,True
27,2005,29.16,True
28,2006,32.69,True
29,2007,37.75,True
30,2008,41.55,True
31,2009,45.0,True
32,2010,46.53,True
33,2011,48.76,True
34,2012,51.43,True
35,2013,57.18,True
36,2014,61.18,True
37,2015,62.12,True
38,2016,63.39,True
39,2017,64.64,True
40,2018,66.27,True
41,2019,67.97,True
42,2020,69.64,True
43,1978,8.848638948053122,Pred
44,1979,7.073717238381505,Pred
45,1980,5.555507887154818,Pred
46,1981,4.286940919235349,Pred
47,1982,3.2609463836997747,Pred
48,1983,2.47045430354774,Pred
49,1984,1.9083947222679853,Pred
50,1985,1.5676976758986712,Pred
51,1986,1.4412931893020868,Pred
52,1987,1.5221113115549088,Pred
53,1988,1.8030820656567812,Pred
54,1989,2.277135495096445,Pred
55,1990,2.9372016321867704,Pred
56,1991,3.7762105129659176,Pred
57,1992,4.787092171609402,Pred
58,1993,5.962776642292738,Pred
59,1994,7.296193968504667,Pred
60,1995,8.780274171382189,Pred
61,1996,10.407947298139334,Pred
62,1997,12.172143381088972,Pred
63,1998,14.065792448818684,Pred
64,1999,16.081824550405145,Pred
65,2000,18.213169703260064,Pred
66,2001,20.452757958322763,Pred
67,2002,22.793519344180822,Pred
68,2003,25.228383898735046,Pred
69,2004,27.750281654298306,Pred
70,2005,30.35214264318347,Pred
71,2006,33.02689690887928,Pred
72,2007,35.76747447811067,Pred
73,2008,38.56680539622903,Pred
74,2009,41.41781968809664,Pred
75,2010,44.31344739347696,Pred
76,2011,47.24661855585873,Pred
77,2012,50.210263192653656,Pred
78,2013,53.19731135480106,Pred
79,2014,56.200693072751164,Pred
80,2015,59.21333837881684,Pred
81,2016,62.228177312761545,Pred
82,2017,65.23813989944756,Pred
83,2018,68.23615619540215,Pred
84,2019,71.21515621058643,Pred
85,2020,74.16806999966502,Pred
86,2021,77.08782758750021,Pred
87,2022,79.96735901199281,Pred
88,2023,82.79959431476891,Pred
89,2024,85.5774635206908,Pred
90,2025,88.29389667324722,Pred
91,2026,90.94182379730046,Pred
