,X,Y,Class
0,1978,44500.0,True
1,1979,42600.0,True
2,1980,41700.0,True
3,1981,41000.0,True
4,1982,39400.0,True
5,1983,38200.0,True
6,1984,37500.0,True
7,1985,36500.0,True
8,1986,35600.0,True
9,1987,34500.0,True
10,1988,33600.0,True
11,1989,32700.0,True
12,1990,31800.0,True
13,1991,29700.000000000004,True
14,1992,27300.0,True
15,1993,25299.999999999996,True
16,1994,23700.0,True
17,1995,22599.999999999996,True
18,1996,21400.0,True
19,1997,19700.0,True
20,1998,16900.0,True
21,1999,13799.999999999998,True
22,2000,11800.0,True
23,2001,10000.0,True
24,2002,9000.0,True
25,2003,7700.0,True
26,2004,6700.0,True
27,2005,6100.0,True
28,2006,5500.0,True
29,2007,4800.0,True
30,2008,4400.0,True
31,2009,4100.0,True
32,2010,4000.0,True
33,2011,3800.0,True
34,2012,3700.0,True
35,2013,3400.0000000000005,True
36,2014,3300.0,True
37,2015,3300.0,True
38,2016,3300.0,True
39,2017,3300.0,True
40,2018,3300.0,True
41,2019,3300.0,True
42,2020,3300.0,True
43,1978,43446.83030128479,Pred
44,1979,42873.38779449463,Pred
45,1980,42168.6338558197,Pred
46,1981,41341.22432899475,Pred
47,1982,40399.815073013306,Pred
48,1983,39353.061948776245,Pred
49,1984,38209.620820999146,Pred
50,1985,36978.14753341675,Pred
51,1986,35667.29795074463,Pred
52,1987,34285.72793197632,Pred
53,1988,32842.093334198,Pred
54,1989,31345.050006866455,Pred
55,1990,29803.253814697266,Pred
56,1991,28225.36061859131,Pred
57,1992,26620.02626991272,Pred
58,1993,24995.906618118286,Pred
59,1994,23361.657537460327,Pred
60,1995,21725.934881210327,Pred
61,1996,20097.394496917725,Pred
62,1997,18484.692249298096,Pred
63,1998,16896.48399734497,Pred
64,1999,15341.425594329834,Pred
65,2000,13828.172901153564,Pred
66,2001,12365.381769180298,Pred
67,2002,10961.708065032959,Pred
68,2003,9625.807636260986,Pred
69,2004,8366.336345672607,Pred
70,2005,7191.950054168701,Pred
71,2006,6111.304616928101,Pred
72,2007,5133.055885314941,Pred
73,2008,4265.859722137451,Pred
74,2009,3518.3719844818115,Pred
75,2010,2899.2485313415527,Pred
76,2011,2417.145212173462,Pred
77,2012,2080.717893600464,Pred
78,2013,1898.622428894043,Pred
79,2014,1879.5146751403809,Pred
80,2015,2032.0504894256592,Pred
81,2016,2364.8857345581055,Pred
82,2017,2886.6762676239014,Pred
83,2018,3606.0779361724854,Pred
84,2019,4531.746604919434,Pred
85,2020,5672.338130950928,Pred
86,2021,7036.508371353149,Pred
87,2022,8632.91318321228,Pred
88,2023,10470.208417892456,Pred
89,2024,12557.049947738647,Pred
90,2025,14902.093616485596,Pred
91,2026,17513.99528503418,Pred
