,X,Y,Class
0,1978,91.42,True
1,1979,91.42,True
2,1980,61.4,True
3,1981,80.17,True
4,1982,69.46,True
5,1983,77.11,True
6,1984,52.69,True
7,1985,52.46,True
8,1986,58.1,True
9,1987,60.79,True
10,1988,63.8,True
11,1989,61.59,True
12,1990,63.57,True
13,1991,76.25,True
14,1992,95.64,True
15,1993,106.36,True
16,1994,84.86,True
17,1995,84.31,True
18,1996,83.05,True
19,1997,77.56,True
20,1998,75.28,True
21,1999,72.91,True
22,2000,74.6,True
23,2001,92.1,True
24,2002,98.67,True
25,2003,102.04,True
26,2004,112.47,True
27,2005,115.25,True
28,2006,121.46,True
29,2007,141.95,True
30,2008,156.03,True
31,2009,165.95,True
32,2010,185.59,True
33,2011,193.95,True
34,2012,197.04,True
35,2013,202.93,True
36,2014,209.39,True
37,2015,213.47,True
38,2016,218.7,True
39,2017,226.49,True
40,2018,228.81,True
41,2019,234.52,True
42,2020,247.92,True
43,1978,102.478515625,Pred
44,1979,82.755859375,Pred
45,1980,70.37890625,Pred
46,1981,63.48828125,Pred
47,1982,60.55859375,Pred
48,1983,60.337890625,Pred
49,1984,61.806640625,Pred
50,1985,64.203125,Pred
51,1986,66.9453125,Pred
52,1987,69.611328125,Pred
53,1988,71.939453125,Pred
54,1989,73.783203125,Pred
55,1990,75.123046875,Pred
56,1991,75.95703125,Pred
57,1992,76.4296875,Pred
58,1993,76.66796875,Pred
59,1994,76.853515625,Pred
60,1995,77.1796875,Pred
61,1996,77.857421875,Pred
62,1997,79.05859375,Pred
63,1998,80.962890625,Pred
64,1999,83.7265625,Pred
65,2000,87.447265625,Pred
66,2001,92.19921875,Pred
67,2002,98.037109375,Pred
68,2003,104.93359375,Pred
69,2004,112.830078125,Pred
70,2005,121.65234375,Pred
71,2006,131.234375,Pred
72,2007,141.427734375,Pred
73,2008,152.009765625,Pred
74,2009,162.76171875,Pred
75,2010,173.451171875,Pred
76,2011,183.822265625,Pred
77,2012,193.638671875,Pred
78,2013,202.71484375,Pred
79,2014,210.853515625,Pred
80,2015,217.951171875,Pred
81,2016,223.9765625,Pred
82,2017,228.986328125,Pred
83,2018,233.16796875,Pred
84,2019,236.818359375,Pred
85,2020,240.470703125,Pred
86,2021,244.783203125,Pred
87,2022,250.697265625,Pred
88,2023,259.3984375,Pred
89,2024,272.326171875,Pred
90,2025,291.3125,Pred
91,2026,318.5,Pred
