,X,Y,Class
0,1978,4.32,True
1,1979,4.32,True
2,1980,2.92,True
3,1981,3.96,True
4,1982,3.47,True
5,1983,3.79,True
6,1984,2.5,True
7,1985,2.47,True
8,1986,2.76,True
9,1987,2.81,True
10,1988,3.03,True
11,1989,3.21,True
12,1990,3.37,True
13,1991,3.71,True
14,1992,4.16,True
15,1993,4.74,True
16,1994,4.1,True
17,1995,4.19,True
18,1996,4.23,True
19,1997,4.22,True
20,1998,4.18,True
21,1999,4.14,True
22,2000,4.5,True
23,2001,5.81,True
24,2002,6.29,True
25,2003,7.18,True
26,2004,8.07,True
27,2005,8.6,True
28,2006,9.29,True
29,2007,11.14,True
30,2008,12.5,True
31,2009,13.9,True
32,2010,15.94,True
33,2011,17.46,True
34,2012,18.86,True
35,2013,20.65,True
36,2014,22.58,True
37,2015,23.84,True
38,2016,25.47,True
39,2017,26.78,True
40,2018,28.42,True
41,2019,30.27,True
42,2020,33.04,True
43,1978,4.258710056077689,Pred
44,1979,4.0553848636336625,Pred
45,1980,3.859703065827489,Pred
46,1981,3.6743981610052288,Pred
47,1982,3.5022036470472813,Pred
48,1983,3.3458530232310295,Pred
49,1984,3.2080797874368727,Pred
50,1985,3.091617434285581,Pred
51,1986,2.9991994644515216,Pred
52,1987,2.9335593744181097,Pred
53,1988,2.897430664394051,Pred
54,1989,2.8935468308627605,Pred
55,1990,2.9246413707733154,Pred
56,1991,2.993447782471776,Pred
57,1992,3.102699564769864,Pred
58,1993,3.2551302146166563,Pred
59,1994,3.453473231755197,Pred
60,1995,3.7004621103405952,Pred
61,1996,3.998830351512879,Pred
62,1997,4.351311452221125,Pred
63,1998,4.760638911277056,Pred
64,1999,5.229546224232763,Pred
65,2000,5.76076689036563,Pred
66,2001,6.357034407556057,Pred
67,2002,7.021082274150103,Pred
68,2003,7.755643988028169,Pred
69,2004,8.563453045673668,Pred
70,2005,9.447242945432663,Pred
71,2006,10.409747186582536,Pred
72,2007,11.453699265606701,Pred
73,2008,12.581832681782544,Pred
74,2009,13.796880931127816,Pred
75,2010,15.101577512454242,Pred
76,2011,16.49865592457354,Pred
77,2012,17.99084966443479,Pred
78,2013,19.580892228987068,Pred
79,2014,21.271517117507756,Pred
80,2015,23.06545782694593,Pred
81,2016,24.965447857044637,Pred
82,2017,26.974220703355968,Pred
83,2018,29.094509865157306,Pred
84,2019,31.32904883939773,Pred
85,2020,33.680571124423295,Pred
86,2021,36.15181021951139,Pred
87,2022,38.745499620679766,Pred
88,2023,41.46437282580882,Pred
89,2024,44.31116333371028,Pred
90,2025,47.288604642264545,Pred
91,2026,50.39943024888635,Pred
