,X,Y,Class
0,1978,3100.0,True
1,1979,3100.0,True
2,1980,7067.0,True
3,1981,5235.0,True
4,1982,6409.0,True
5,1983,6120.0,True
6,1984,11511.0,True
7,1985,12468.0,True
8,1986,12375.0,True
9,1987,13366.0,True
10,1988,12590.0,True
11,1989,12153.0,True
12,1990,11824.0,True
13,1991,11242.0,True
14,1992,9860.0,True
15,1993,9179.0,True
16,1994,11705.0,True
17,1995,11794.0,True
18,1996,11915.0,True
19,1997,12920.0,True
20,1998,14068.0,True
21,1999,14864.0,True
22,2000,15073.0,True
23,2001,12501.0,True
24,2002,11920.0,True
25,2003,11560.0,True
26,2004,11367.0,True
27,2005,11472.0,True
28,2006,11437.0,True
29,2007,10411.0,True
30,2008,10212.0,True
31,2009,10067.0,True
32,2010,9863.0,True
33,2011,9649.0,True
34,2012,9573.0,True
35,2013,9209.0,True
36,2014,8871.0,True
37,2015,8908.0,True
38,2016,8771.0,True
39,2017,8645.0,True
40,2018,8453.0,True
41,2019,8261.0,True
42,2020,8009.0,True
43,1978,3139.615259170532,Pred
44,1979,4393.224429130554,Pred
45,1980,5544.073616027832,Pred
46,1981,6595.7301568984985,Pred
47,1982,7551.761387825012,Pred
48,1983,8415.734657287598,Pred
49,1984,9191.21729850769,Pred
50,1985,9881.776658058167,Pred
51,1986,10490.980072975159,Pred
52,1987,11022.394881248474,Pred
53,1988,11479.588426589966,Pred
54,1989,11866.128045082092,Pred
55,1990,12185.581079483032,Pred
56,1991,12441.514869689941,Pred
57,1992,12637.496757507324,Pred
58,1993,12777.094079971313,Pred
59,1994,12863.874180793762,Pred
60,1995,12901.404395103455,Pred
61,1996,12893.252066612244,Pred
62,1997,12842.98453617096,Pred
63,1998,12754.169138908386,Pred
64,1999,12630.373222351074,Pred
65,2000,12475.164123535156,Pred
66,2001,12292.109179496765,Pred
67,2002,12084.775733947754,Pred
68,2003,11856.731126785278,Pred
69,2004,11611.542693138123,Pred
70,2005,11352.777779579163,Pred
71,2006,11084.00372505188,Pred
72,2007,10808.787867546082,Pred
73,2008,10530.697548866272,Pred
74,2009,10253.300109863281,Pred
75,2010,9980.162886619568,Pred
76,2011,9714.85322189331,Pred
77,2012,9460.93845653534,Pred
78,2013,9221.985929489136,Pred
79,2014,9001.562983512878,Pred
80,2015,8803.236957550049,Pred
81,2016,8630.575187683105,Pred
82,2017,8487.14501953125,Pred
83,2018,8376.513790130615,Pred
84,2019,8302.248837471008,Pred
85,2020,8267.917508125305,Pred
86,2021,8277.087140083313,Pred
87,2022,8333.32506942749,Pred
88,2023,8440.198640823364,Pred
89,2024,8601.275193214417,Pred
90,2025,8820.122064590454,Pred
91,2026,9100.306593894958,Pred
