,name,address,point_x,point_y,specify,dataType,tag
0,西湖区莲花港学前教育集团新城幼儿园,浙江省杭州市西湖区益乐路100,120.10951,30.28623,西湖区,幼儿园,tdt
1,杭州市西湖区西溪花园幼儿园都市阳光园区,浙江省杭州市西湖区来仁路76东北方向36米,120.06002,30.3412,西湖区,幼儿园,tdt
2,唐老鸭幼儿园,浙江省杭州市西湖区三墩镇马家塘20号,120.04115,30.31275,西湖区,幼儿园,tdt
3,杭州市西湖区文苑幼儿园登新园区,浙江省杭州市西湖区登云圩路62,120.08328,30.28143,西湖区,幼儿园,tdt
4,西湖区百灵幼儿园,浙江省杭州市西湖区文星路6,120.08258,30.3247,西湖区,幼儿园,tdt
5,杭州市西湖区文新学前班教育集团富城幼儿园,浙江省杭州市西湖区庆隆路9东北方向90米,120.11928,30.29492,西湖区,幼儿园,tdt
6,杭州市西湖区紫荆幼儿园诚园园区,浙江省杭州市西湖区蒋村西溪人家1幢西北方向183米,120.07651,30.2927,西湖区,幼儿园,tdt
7,孝慈水木清华幼儿园,浙江省杭州市余杭区西湖小和山高教区水木清华苑,120.013828,30.221,西湖区,幼儿园,tdt
8,杭州市西湖区小和山学前教育集团嘉苑幼儿园,浙江省杭州市西湖区新安嘉苑11,120.09992,30.27145,西湖区,幼儿园,tdt
9,杭州市人民政府机关幼儿园府新分园,浙江省杭州市西湖区文二西路589府新花园,120.08616,30.28153,西湖区,幼儿园,tdt
10,文苑学前教育集团文一街幼儿园,浙江省杭州市西湖区教工路250号西南方向139米,120.1314,30.29249,西湖区,幼儿园,tdt
11,枫华府第幼儿园西溪里园区,浙江省杭州市西湖区浙江省杭州市西湖区,120.05601,30.29084,西湖区,幼儿园,tdt
12,山水学前教育集团蝶园幼儿园,浙江省杭州市西湖区紫霞街180,120.060129,30.292298,西湖区,幼儿园,tdt
13,杭州市西湖区红黄蓝幼儿园,浙江省杭州市西湖区西园七路3号正东方向26米,120.05569,30.316412,西湖区,幼儿园,tdt
14,闻裕顺学前教育集团西庐幼儿园,浙江省杭州市西湖区紫霞街271东南方向95米,120.05162,30.29385,西湖区,幼儿园,tdt
15,西湖区申花路幼儿园秀月园区,浙江省杭州市西湖区美林湾城市公寓绿岸苑1幢1-1附近东北方向152米,120.09206,30.32341,西湖区,幼儿园,tdt
16,西湖区周浦幼儿园灵山分校,浙江省杭州市西湖区浙江省杭州市西湖区,120.030197,30.13071,西湖区,幼儿园,tdt
17,西湖区花牌楼幼儿园,浙江省杭州市西湖区花牌楼151-1,120.05236,30.22938,西湖区,幼儿园,tdt
18,西湖区龙坞幼儿园叶埠桥园区,浙江省杭州市西湖区转塘街道龙坞叶埠桥老社区,120.06361,30.1785,西湖区,幼儿园,tdt
19,大风车幼儿园,浙江省杭州市西湖区高教新村7幢,120.09195,30.28993,西湖区,幼儿园,tdt
20,武林门幼儿园西区,浙江省杭州市西湖区马塍路9号,120.14405,30.27805,西湖区,幼儿园,tdt
21,留下幼儿园东穆坞分园,浙江省杭州市西湖区留泗路东穆坞,120.05648,30.2244,西湖区,幼儿园,tdt
22,袁浦幼儿园求知分园,浙江省杭州市西湖区浙江省杭州市西湖区,120.0985,30.11405,西湖区,幼儿园,tdt
23,绕城幼儿园,浙江省杭州市西湖区浙江省杭州市西湖区,120.0499,30.33993,西湖区,幼儿园,tdt
24,浙江幼师幼儿园,浙江省杭州市西湖区保俶北路92-1,120.13654,30.28827,西湖区,幼儿园,tdt
25,杭州市·西湖区名苑学前教育集团黄龙和山幼儿园,浙江省杭州市西湖区杨梅山路261正南方向148米,120.0596,30.24375,西湖区,幼儿园,tdt
26,浙师大杭幼师院附属幼儿园,浙江省杭州市西湖区文二路125号杭州幼儿师范学院,120.13392,30.28517,西湖区,幼儿园,tdt
27,和马幼儿园,浙江省杭州市西湖区浙江省杭州市西湖区,120.019889,30.215109,西湖区,幼儿园,tdt
28,杭州市西湖区大禹路幼儿园同仁园区,浙江省杭州市西湖区灯彩街212正北方向170米,120.07798,30.33036,西湖区,幼儿园,tdt
29,杭州市西湖区物华幼儿园,浙江省杭州市西湖区余杭塘路515号正北方向121米,120.10455,30.293838,西湖区,幼儿园,tdt
30,三墩华联幼儿园,浙江省杭州市西湖区浙江省杭州市西湖区,120.02899,30.34829,西湖区,幼儿园,tdt
31,宝贝1+1幼儿园,浙江省杭州市西湖区方家苑商-063西北方向53米,120.06621,30.16378,西湖区,幼儿园,tdt
32,杭州市西子湖幼儿园(三台山园区),浙江省杭州市西湖区三台云舍12-1,120.129,30.22764,西湖区,幼儿园,tdt
33,天虹幼儿园水月园区,浙江省杭州市西湖区城北商贸园34幢,120.08805,30.31284,西湖区,幼儿园,tdt
34,白荡海幼儿园,浙江省杭州市西湖区文一路66,120.13841,30.29204,西湖区,幼儿园,tdt
35,转塘第二幼儿园,浙江省杭州市西湖区方家苑商002东北方向120米,120.06894,30.1649,西湖区,幼儿园,tdt
36,枫华府第幼儿园庆丰园区,浙江省杭州市西湖区玉古路165-1,120.12316,30.26905,西湖区,幼儿园,tdt
37,杭州市西湖区三坝幼儿园金地园区,浙江省杭州市西湖区厚仁路369号三墩新天地商业中心13幢正东方向155米,120.07061,30.33626,西湖区,幼儿园,tdt
38,杭州市方家塘幼儿园,浙江省杭州市拱墅区浙江省杭州市西湖区,120.09736,30.31442,西湖区,幼儿园,tdt
39,杭州市西湖区慧仁家园幼儿园,浙江省杭州市西湖区墩祥街398西南方向198米,120.072,30.33228,西湖区,幼儿园,tdt
40,北山幼儿园嘉绿西苑园区,浙江省杭州市西湖区嘉绿苑西39,120.10552,30.28245,西湖区,幼儿园,tdt
41,转塘第一幼儿园,浙江省杭州市西湖区梦园街横桥沈合苑停车场内正南方向57米,120.0624,30.16236,西湖区,幼儿园,tdt
42,三墩镇中心幼儿园阳光嘉苑园区,浙江省杭州市西湖区周坪路29,120.06511,30.34009,西湖区,幼儿园,tdt
