,name,address,point_x,point_y,specify,dataType,tag
0,杭州市余杭区未来科技城海创小学,浙江省杭州市余杭区五常街道永寿街128号,120.012847,30.276173,余杭区,初等教育,correct
1,义乌市黄山小学,义乌市上溪镇黄山村,119.9123,29.33674,义乌市,初等教育,correct
2,杭州市余杭区运河兴旺幼儿园,杭州市余杭区运河街道东湖北路南栅口社区自强链条,120.29528,30.45933,余杭区,学前教育,correct
3,义乌市福田爱德幼儿园,义乌市福田街道下西陶村56-58号,120.11942,29.37964,义乌市,学前教育,correct
4,宁波市海曙区集士港镇白岳幼儿园,宁波市海曙区集士港镇岳童村童家横221号,121.422893,29.889262,海曙区,学前教育,correct
5,宁波市海曙区石碶街道栎社小学,栎社村74号,121.480719,29.808151,海曙区,初等教育,correct
6,宁波市海曙区古林镇张家潭幼儿园,宁波市海曙区古林镇张家潭村1号,121.471104,29.845646,海曙区,学前教育,correct
7,宁波市海曙区鄞江镇燕玲学校,宁波市海曙区鄞江镇大桥村,121.36834,29.806,海曙区,初等教育,correct
8,义乌市福田鑫焕幼儿园,义乌市福田银海二区15幢1号,120.10064,29.3443300000001,义乌市,学前教育,correct
9,义乌市北苑街道时代花园优幼幼稚园,丹溪社区居委会,120.05399,29.32415,义乌市,学前教育,correct
10,义乌市江东街道快乐幼儿园,江东金村C区37栋,120.08452,29.2963,义乌市,学前教育,correct
11,浙江省级机关北山幼儿园,杭州市西湖区宝石社区,120.14616,30.26496,西湖区,学前教育,correct
12,宁波市海曙区洞桥镇中心幼儿园,宁波市海曙区洞桥镇文卫路49号,121.40762,29.78446,海曙区,学前教育,correct
13,义乌市后宅街道湖门幼儿园,义乌市后宅街道湖门村,120.04045,29.399626,义乌市,学前教育,correct
14,宁波市新芝幼儿园,柳翠街80号；永丰西路98弄54号,121.52641,29.8904,海曙区,学前教育,correct
15,宁波市海曙区古林镇蜃蛟幼儿园,宁波市海曙区古林镇蜃蛟村小魏家26号,121.39741,29.8181,海曙区,学前教育,correct
16,杭州市西湖区紫金港幼儿园,杭州市五常港路与蒋墩路交叉口,120.06369,30.30376,西湖区,学前教育,correct
17,浙江大学附属中学,杭州市曙光路89号,120.1267,30.26069,西湖区,中等教育,correct
