,objectid,name,address,point_x,point_y,dsmc,qxmc,xzmc,xxlb,xzqdm,dj,gdb_geomattr_data,shape,verify_point_x,verify_point_y,verify_address,o_point_x,o_point_y,judge_way
0,67.0,杭州市余杭区未来科技城海创小学,浙江省杭州市余杭区五常街道永寿街128号,120.0130597,30.27607851,杭州市,余杭区,闲林街道,小学,330110.0,初等教育,,01010000208A110000B8775FF8D5005E40202BD414AD463E40,120.012847,30.276173,杭州市余杭区杭州未来科技城海创小学,120.0130597,30.27607851,tdt
1,85.0,义乌市黄山小学,义乌市上溪镇黄山村,119.9124289,29.3366036,金华市,义乌市,上溪镇,小学,,初等教育,,01010000208A110000D8F6FD3B65FA5D40504E56A72B563D40,119.9123,29.33674,金华市义乌市黄山一村义乌市上溪镇黄山小学,119.9124289,29.3366036,tdt
2,127.0,杭州市余杭区运河兴旺幼儿园,杭州市余杭区运河街道东湖北路南栅口社区自强链条,120.2951604,30.45909794,杭州市,余杭区,运河街道,幼儿园,330110.0,学前教育,,01010000208A110000E02B45E8E3125E4080AA497187753E40,120.29528,30.45933,杭州市临平区余杭开发区东湖北路471号西南方向90米兴旺幼儿园,120.2951604,30.45909794,tdt
3,149.0,义乌市福田爱德幼儿园,义乌市福田街道下西陶村56-58号,120.1195632,29.37959418,金华市,义乌市,福田街道,幼儿园,330782.0,学前教育,,01010000208A110000C0B65DECA6075E4010AC7B152D613D40,120.11942,29.37964,金华市义乌市荷叶塘下西陶荷叶塘中学后门对面西南方向96米爱德幼儿园,120.1195632,29.37959418,tdt
4,180.0,宁波市海曙区集士港镇白岳幼儿园,宁波市海曙区集士港镇岳童村童家横221号,121.4228335,29.88934498,宁波市,海曙区,集士港镇,幼儿园,330203.0,学前教育,,01010000208A11000080812EB40F5B5E404024E51CACE33D40,121.422893,29.889262,宁波市海曙区岳童村203正东方向88米白岳幼儿园,121.4228335,29.88934498,tdt
5,222.0,宁波市海曙区石碶街道栎社小学,栎社村74号,121.4805655,29.80817883,宁波市,海曙区,石碶街道,小学,330203.0,初等教育,,01010000208A110000682FD695C15E5E40F076D0CEE4CE3D40,121.480719,29.808151,宁波市海曙区栎社街74号海曙区栎社小学,121.4805655,29.80817883,tdt
6,369.0,宁波市海曙区古林镇张家潭幼儿园,宁波市海曙区古林镇张家潭村1号,121.471022,29.84562605,宁波市,海曙区,古林镇,幼儿园,330203.0,学前教育,,01010000208A110000A0945A39255E5E405065E5F27AD83D40,121.471104,29.845646,宁波市海曙区古林镇张家潭幼儿园,121.471022,29.84562605,tdt
7,457.0,宁波市海曙区鄞江镇燕玲学校,宁波市海曙区鄞江镇大桥村,121.3681753,29.80637072,宁波市,海曙区,鄞江镇,小学,330203.0,初等教育,,01010000208A110000A0B0292F90575E4010ACAD4F6ECE3D40,121.36834,29.806,宁波市海曙区大桥村鄞江镇燕玲学校,121.3681753,29.80637072,tdt
8,482.0,义乌市福田鑫焕幼儿园,义乌市福田银海二区15幢1号,120.1005592,29.34425551,金华市,义乌市,福田街道,幼儿园,330782.0,学前教育,,01010000208A110000907B01906F065E40709F082121583D40,120.10064,29.3443300000001,金华市义乌市银海二区15幢银海鑫焕幼儿园,120.1005592,29.34425551,tdt
9,545.0,义乌市北苑街道时代花园优幼幼稚园,丹溪社区居委会,120.053927,29.324774,金华市,义乌市,北苑街道,幼儿园,330781.0,学前教育,,01010000208A110000C8573B8A73035E4050978C6324533D40,120.05399,29.32415,金华市义乌市时代花园幼稚园,120.053927,29.324774,tdt
